timestamp,yes,no
2025-05-03 00:00:06,0.07,0.93
2025-05-04 00:00:05,0.07,0.93
2025-05-05 00:00:05,0.07,0.93
2025-05-06 00:00:06,0.07,0.93
2025-05-07 00:00:05,0.07,0.93
2025-05-08 00:00:06,0.07,0.93
2025-05-09 00:00:07,0.065,0.935
2025-05-10 00:00:06,0.06,0.94
2025-05-11 00:00:06,0.06,0.94
2025-05-12 00:00:06,0.06,0.94
2025-05-13 00:00:06,0.055,0.945
2025-05-14 00:00:07,0.045,0.955
2025-05-15 00:00:07,0.045,0.955
2025-05-16 00:00:06,0.045,0.955
2025-05-17 00:00:07,0.045,0.955
2025-05-18 00:00:06,0.0335,0.9665
2025-05-19 00:00:06,0.0175,0.9825
2025-05-20 00:00:06,0.0305,0.9695
2025-05-21 00:00:06,0.0265,0.9735
2025-05-22 00:00:07,0.0265,0.9735
2025-05-23 00:00:07,0.048,0.952
2025-05-24 00:00:07,0.0445,0.9555
2025-05-25 00:00:06,0.048,0.952
2025-05-26 00:00:07,0.0535,0.9465
2025-05-27 00:00:06,0.049,0.951
2025-05-28 00:00:06,0.046,0.954
2025-05-29 00:00:07,0.0475,0.9525
2025-05-30 00:00:07,0.045,0.955
2025-05-31 00:00:07,0.0445,0.9555
2025-06-01 00:00:07,0.0445,0.9555
2025-06-02 00:00:06,0.042,0.958
2025-06-03 00:00:07,0.022,0.978
2025-06-04 00:00:06,0.042,0.958
2025-06-05 00:00:06,0.026,0.974
2025-06-06 00:00:06,0.014,0.986
2025-06-07 00:00:07,0.016,0.984
2025-06-08 00:00:07,0.0225,0.9775
2025-06-09 00:00:07,0.0025,0.9975
2025-06-10 00:00:06,0.0005,0.9995
