timestamp,yes,no
2025-06-12 00:00:07,0.15,0.85
2025-06-13 00:00:07,0.12,0.88
2025-06-14 00:00:08,0.26,0.74
2025-06-15 00:00:08,0.205,0.795
2025-06-16 00:00:07,0.16,0.84
2025-06-17 00:00:08,0.1955,0.8045
2025-06-18 00:00:08,0.147,0.853
2025-06-19 00:00:07,0.099,0.901
2025-06-20 00:00:08,0.0675,0.9325
2025-06-21 00:00:08,0.065,0.935
2025-06-22 00:00:06,0.489,0.511
2025-06-23 00:00:07,0.219,0.781
2025-06-24 00:00:07,0.042,0.958
2025-06-25 00:00:07,0.0135,0.9865
2025-06-26 00:00:08,0.0035,0.9965
2025-06-27 00:00:07,0.0095,0.9905
2025-06-28 00:00:07,0.012,0.988
2025-06-29 00:00:08,0.0185,0.9815
2025-06-30 00:00:07,0.013,0.987
2025-07-01 00:00:08,0.0215,0.9785
