timestamp,yes,no
2025-07-08 00:00:08,0.215,0.785
2025-07-09 00:00:07,0.215,0.785
2025-07-10 00:00:08,0.205,0.795
2025-07-11 00:00:08,0.205,0.795
2025-07-12 00:00:09,0.19,0.81
2025-07-13 00:00:08,0.165,0.835
2025-07-14 00:00:07,0.135,0.865
2025-07-15 00:00:08,0.15,0.85
2025-07-16 00:00:08,0.145,0.855
2025-07-17 00:00:08,0.14,0.86
2025-07-18 00:00:08,0.145,0.855
2025-07-19 00:00:09,0.14,0.86
2025-07-20 00:00:08,0.145,0.855
2025-07-21 00:00:07,0.155,0.845
2025-07-22 00:00:09,0.155,0.845
2025-07-23 00:00:09,0.15,0.85
2025-07-24 00:00:09,0.145,0.855
2025-07-25 00:00:09,0.145,0.855
2025-07-26 00:00:09,0.115,0.885
2025-07-27 00:00:10,0.115,0.885
2025-07-28 00:00:09,0.125,0.875
2025-07-29 00:00:10,0.12,0.88
2025-07-30 00:00:10,0.115,0.885
2025-07-31 00:00:08,0.12,0.88
2025-08-01 00:00:09,0.12,0.88
2025-08-02 00:00:09,0.115,0.885
2025-08-03 00:00:08,0.115,0.885
2025-08-04 00:00:07,0.095,0.905
2025-08-05 00:00:08,0.085,0.915
2025-08-06 00:00:09,0.085,0.915
2025-08-07 00:00:02,0.085,0.915
2025-08-08 00:00:05,0.085,
2025-08-09 00:00:09,0.085,0.915
2025-08-10 00:00:03,0.075,
2025-08-11 00:00:08,0.065,
2025-08-12 00:00:09,0.045,
2025-08-13 00:00:07,0.045,
2025-08-14 00:00:06,0.05,0.95
2025-08-15 00:00:02,0.045,0.955
2025-08-16 00:00:09,0.045,
2025-08-17 00:00:07,0.035,0.965
2025-08-18 00:00:09,0.0355,
2025-08-19 00:00:08,0.0355,
2025-08-20 00:00:05,0.034,
2025-08-21 00:00:02,0.033,
2025-08-22 00:00:08,0.036,
2025-08-23 00:00:02,0.036,
2025-08-24 00:00:08,0.037,
2025-08-25 00:00:04,0.035,
2025-08-26 00:00:04,0.035,
2025-08-27 00:00:09,0.0345,
2025-08-28 00:00:07,0.035,
2025-08-29 00:00:16,0.031,
2025-08-30 00:00:08,0.031,
2025-08-31 00:00:14,0.038,
2025-09-01 00:00:06,0.0425,0.9575
2025-09-02 00:00:14,0.041,
2025-09-03 00:00:04,0.0425,
2025-09-04 00:00:07,0.0405,
2025-09-05 00:00:07,0.044,
2025-09-06 00:00:21,0.044,
2025-09-07 00:00:03,0.0435,
2025-09-08 00:00:02,0.041,
2025-09-09 00:00:07,0.041,
2025-09-10 00:00:07,0.041,
2025-09-11 00:00:12,0.0435,
2025-09-12 00:00:07,0.045,
2025-09-13 00:00:08,0.0455,
2025-09-14 00:00:03,0.0455,
2025-09-15 00:00:10,0.0455,
2025-09-16 00:00:23,0.0455,
2025-09-17 00:00:12,0.0385,
2025-09-18 00:00:14,0.0395,
2025-09-19 00:00:16,0.0355,
2025-09-20 00:00:04,0.0355,
2025-09-21 00:00:09,0.0355,
2025-09-22 00:00:04,0.0355,
2025-09-23 00:00:10,0.0355,
2025-09-24 00:00:14,0.0365,
2025-09-25 00:00:05,0.0365,
2025-09-26 00:00:13,0.0435,
2025-09-27 00:00:03,0.0415,
2025-09-28 00:00:03,0.0415,
2025-09-29 00:00:06,0.041,
2025-09-30 00:00:05,0.034,
2025-10-01 00:00:08,0.036,
2025-10-02 00:00:09,0.036,
2025-10-03 00:00:07,0.0355,
2025-10-04 00:00:09,0.021,
2025-10-05 00:00:08,0.018,0.982
2025-10-06 00:00:09,0.02,0.98
2025-10-07 00:00:11,0.02,
2025-10-08 00:00:14,0.015,
2025-10-09 00:00:08,0.01,
2025-10-10 00:00:06,0.022,
2025-10-11 00:00:11,0.0235,
2025-10-12 00:00:09,0.032,
2025-10-13 00:00:02,0.024,
2025-10-14 00:00:06,0.0105,
2025-10-15 00:00:11,0.0205,
2025-10-16 00:00:12,0.009,0.991
2025-10-17 00:00:09,0.003,
2025-10-18 00:00:11,0.0035,
2025-10-19 00:00:08,0.006,
2025-10-20 00:00:12,0.006,
2025-10-21 00:00:20,0.017,
2025-10-22 00:00:05,0.015,
2025-10-23 00:00:06,0.0085,
2025-10-23 13:06:03,0.012,
