timestamp,yes,no
2025-06-17 00:00:08,0.085,0.915
2025-06-18 00:00:08,0.085,0.915
2025-06-19 00:00:07,0.0125,0.9875
2025-06-20 00:00:08,0.0365,0.9635
2025-06-21 00:00:08,0.047,0.953
2025-06-22 00:00:06,0.0425,0.9575
2025-06-23 00:00:07,0.035,0.965
2025-06-24 00:00:07,0.032,0.968
2025-06-25 00:00:07,0.053,0.947
2025-06-26 00:00:08,0.04,0.96
2025-06-27 00:00:07,0.042,0.958
2025-06-28 00:00:07,0.052,0.948
2025-06-29 00:00:08,0.051,0.949
2025-06-30 00:00:07,0.033,0.967
2025-07-01 00:00:08,0.02,0.98
2025-07-02 00:00:07,0.013,0.987
2025-07-03 00:00:08,0.02,0.98
2025-07-04 00:00:08,0.013,0.987
2025-07-05 00:00:08,0.012,0.988
2025-07-06 00:00:07,0.0025,0.9975
2025-07-07 00:00:07,0.002,0.998
