timestamp,yes,no
2025-05-20 00:00:06,0.56,0.44
2025-05-21 00:00:06,0.445,0.555
2025-05-22 00:00:07,0.63,0.37
2025-05-23 00:00:07,0.665,0.335
2025-05-24 00:00:07,0.665,0.335
2025-05-25 00:00:06,0.67,0.33
2025-05-26 00:00:07,0.675,0.325
2025-05-27 00:00:06,0.675,0.325
2025-05-28 00:00:06,0.675,0.325
2025-05-29 00:00:07,0.675,0.325
2025-05-30 00:00:07,0.335,0.665
2025-05-31 00:00:07,0.345,0.655
2025-06-01 00:00:07,0.33,0.67
2025-06-02 00:00:06,0.315,0.685
2025-06-03 00:00:07,0.325,0.675
2025-06-04 00:00:06,0.335,0.665
2025-06-05 00:00:06,0.34,0.66
2025-06-06 00:00:06,0.355,0.645
2025-06-07 00:00:07,0.565,0.435
2025-06-08 00:00:07,0.76,0.24
2025-06-09 00:00:07,0.77,0.23
2025-06-10 00:00:06,0.76,0.24
2025-06-11 00:00:07,0.815,0.185
2025-06-12 00:00:07,0.8,0.2
2025-06-13 00:00:07,0.745,0.255
2025-06-14 00:00:08,0.75,0.25
2025-06-15 00:00:08,0.765,0.235
2025-06-16 00:00:07,0.765,0.235
2025-06-17 00:00:08,0.765,0.235
2025-06-18 00:00:08,0.765,0.235
2025-06-19 00:00:07,0.76,0.24
2025-06-20 00:00:08,0.755,0.245
2025-06-21 00:00:08,0.755,0.245
2025-06-22 00:00:06,0.755,0.245
2025-06-23 00:00:07,0.755,0.245
2025-06-24 00:00:07,0.755,0.245
2025-06-25 00:00:07,0.755,0.245
2025-06-26 00:00:08,0.725,0.275
2025-06-27 00:00:07,0.765,0.235
2025-06-28 00:00:07,0.775,0.225
2025-06-29 00:00:08,0.79,0.21
2025-06-30 00:00:07,0.785,0.215
2025-07-01 00:00:08,0.82,0.18
2025-07-02 00:00:07,0.825,0.175
2025-07-03 00:00:08,0.825,0.175
2025-07-04 00:00:08,0.825,0.175
2025-07-05 00:00:08,0.83,0.17
2025-07-06 00:00:07,0.82,0.18
2025-07-07 00:00:07,0.785,0.215
2025-07-08 00:00:08,0.785,0.215
2025-07-09 00:00:07,0.785,0.215
2025-07-10 00:00:08,0.76,0.24
2025-07-11 00:00:08,0.76,0.24
2025-07-12 00:00:09,0.825,0.175
2025-07-13 00:00:08,0.815,0.185
2025-07-14 00:00:07,0.835,0.165
2025-07-15 00:00:08,0.835,0.165
2025-07-16 00:00:08,0.825,0.175
2025-07-17 00:00:08,0.825,0.175
2025-07-18 00:00:08,0.825,0.175
2025-07-19 00:00:09,0.83,0.17
2025-07-20 00:00:08,0.83,0.17
2025-07-21 00:00:07,0.83,0.17
2025-07-22 00:00:09,0.83,0.17
2025-07-23 00:00:09,0.83,0.17
2025-07-24 00:00:09,0.83,0.17
2025-07-25 00:00:09,0.8,0.2
2025-07-26 00:00:09,0.81,0.19
2025-07-27 00:00:10,0.8,0.2
2025-07-28 00:00:09,0.785,0.215
2025-07-29 00:00:10,0.785,0.215
2025-07-30 00:00:10,0.775,0.225
2025-07-31 00:00:08,0.525,0.475
2025-08-01 00:00:09,0.715,0.285
2025-08-02 00:00:09,0.725,0.275
2025-08-03 00:00:08,0.725,0.275
2025-08-04 00:00:07,0.645,0.355
2025-08-05 00:00:08,0.69,0.31
2025-08-06 00:00:09,0.7,0.3
2025-08-07 00:00:11,0.765,
2025-08-08 00:00:05,0.75,
2025-08-09 00:00:15,0.745,
2025-08-10 00:00:09,0.75,0.25
2025-08-11 00:00:11,0.775,
2025-08-12 00:00:06,0.77,
2025-08-13 00:00:13,0.76,
2025-08-14 00:00:08,0.775,
2025-08-15 00:00:11,0.76,
2025-08-16 00:00:04,0.755,
2025-08-17 00:00:13,0.83,
2025-08-18 00:00:02,0.83,0.17
2025-08-19 00:00:12,0.83,
2025-08-20 00:00:03,0.825,
2025-08-21 00:00:04,0.945,0.055
2025-08-22 00:00:05,0.895,
2025-08-23 00:00:16,0.885,
2025-08-24 00:00:02,0.885,
2025-08-25 00:00:13,0.885,0.115
2025-08-26 00:00:09,0.89,
2025-08-27 00:00:09,0.87,
2025-08-28 00:00:09,0.89,
2025-08-29 00:00:08,0.935,
2025-08-30 00:00:04,0.91,
2025-08-31 00:00:02,0.91,0.09
2025-09-01 00:00:07,0.905,0.095
2025-09-02 00:00:08,0.9,
2025-09-03 00:00:15,0.88,
2025-09-04 00:00:11,0.85,
2025-09-05 00:00:09,0.85,
2025-09-06 00:00:17,0.795,
2025-09-07 00:00:10,0.8,
2025-09-08 00:00:06,0.78,
2025-09-09 00:00:12,0.775,
2025-09-10 00:00:09,0.855,
2025-09-11 00:00:09,0.895,
2025-09-12 00:00:18,0.92,
2025-09-13 00:00:06,0.925,
2025-09-14 00:00:11,0.91,
2025-09-15 00:00:04,0.895,0.105
2025-09-16 00:00:08,0.86,
2025-09-17 00:00:15,0.87,
2025-09-18 00:00:14,0.9785,0.0215
2025-09-19 00:00:19,0.85,
2025-09-20 00:00:19,0.825,
2025-09-21 00:00:06,0.913,0.087
2025-09-22 00:00:15,0.8855,0.1145
2025-09-23 00:00:11,0.9825,
2025-09-24 00:00:06,0.9865,
2025-09-25 00:00:07,0.9985,
