timestamp,yes,no
2025-05-22 00:00:07,0.615,0.385
2025-05-23 00:00:07,0.795,0.205
2025-05-24 00:00:07,0.79,0.21
2025-05-25 00:00:06,0.78,0.22
2025-05-26 00:00:07,0.745,0.255
2025-05-27 00:00:06,0.705,0.295
2025-05-28 00:00:06,0.715,0.285
2025-05-29 00:00:07,0.695,0.305
2025-05-30 00:00:07,0.655,0.345
2025-05-31 00:00:07,0.655,0.345
2025-06-01 00:00:07,0.65,0.35
2025-06-02 00:00:06,0.645,0.355
2025-06-03 00:00:07,0.61,0.39
2025-06-04 00:00:06,0.675,0.325
2025-06-05 00:00:06,0.62,0.38
2025-06-06 00:00:06,0.645,0.355
2025-06-07 00:00:07,0.655,0.345
2025-06-08 00:00:07,0.645,0.355
2025-06-09 00:00:07,0.755,0.245
2025-06-10 00:00:06,0.645,0.355
2025-06-11 00:00:07,0.64,0.36
2025-06-12 00:00:07,0.58,0.42
2025-06-13 00:00:07,0.595,0.405
2025-06-14 00:00:08,0.58,0.42
2025-06-15 00:00:08,0.555,0.445
2025-06-16 00:00:07,0.555,0.445
2025-06-17 00:00:08,0.555,0.445
2025-06-18 00:00:08,0.555,0.445
2025-06-19 00:00:07,0.575,0.425
2025-06-20 00:00:08,0.575,0.425
2025-06-21 00:00:08,0.59,0.41
2025-06-22 00:00:06,0.56,0.44
2025-06-23 00:00:07,0.56,0.44
2025-06-24 00:00:07,0.54,0.46
2025-06-25 00:00:07,0.47,0.53
2025-06-26 00:00:08,0.48,0.52
2025-06-27 00:00:07,0.48,0.52
2025-06-28 00:00:07,0.445,0.555
2025-06-29 00:00:08,0.43,0.57
2025-06-30 00:00:07,0.42,0.58
2025-07-01 00:00:08,0.415,0.585
2025-07-02 00:00:07,0.415,0.585
2025-07-03 00:00:08,0.42,0.58
2025-07-04 00:00:08,0.42,0.58
2025-07-05 00:00:08,0.415,0.585
2025-07-06 00:00:07,0.42,0.58
2025-07-07 00:00:07,0.45,0.55
2025-07-08 00:00:08,0.415,0.585
2025-07-09 00:00:07,0.45,0.55
2025-07-10 00:00:08,0.435,0.565
2025-07-11 00:00:08,0.435,0.565
2025-07-12 00:00:09,0.29,0.71
2025-07-13 00:00:08,0.265,0.735
2025-07-14 00:00:07,0.28,0.72
2025-07-15 00:00:08,0.28,0.72
2025-07-16 00:00:08,0.28,0.72
2025-07-17 00:00:08,0.28,0.72
2025-07-18 00:00:08,0.28,0.72
2025-07-19 00:00:09,0.25,0.75
2025-07-20 00:00:08,0.265,0.735
2025-07-21 00:00:07,0.255,0.745
2025-07-22 00:00:09,0.26,0.74
2025-07-23 00:00:09,0.31,0.69
2025-07-24 00:00:09,0.295,0.705
2025-07-25 00:00:09,0.295,0.705
2025-07-26 00:00:09,0.285,0.715
2025-07-27 00:00:10,0.28,0.72
2025-07-28 00:00:09,0.31,0.69
2025-07-29 00:00:10,0.32,0.68
2025-07-30 00:00:10,0.315,0.685
2025-07-31 00:00:08,0.32,0.68
2025-08-01 00:00:09,0.32,0.68
2025-08-02 00:00:09,0.32,0.68
2025-08-03 00:00:08,0.32,0.68
2025-08-04 00:00:07,0.32,0.68
2025-08-05 00:00:08,0.31,0.69
2025-08-06 00:00:09,0.3,0.7
2025-08-07 00:00:05,0.3,
2025-08-08 00:00:06,0.3,
2025-08-09 00:00:10,0.31,
2025-08-10 00:00:08,0.305,
2025-08-11 00:00:12,0.32,
2025-08-12 00:00:09,0.32,0.68
2025-08-13 00:00:13,0.445,
2025-08-14 00:00:02,0.36,
2025-08-15 00:00:03,0.305,
2025-08-16 00:00:07,0.305,
2025-08-17 00:00:14,0.28,
2025-08-18 00:00:03,0.265,
2025-08-19 00:00:06,0.28,
2025-08-20 00:00:07,0.295,0.705
2025-08-21 00:00:07,0.315,
2025-08-22 00:00:02,0.305,0.695
2025-08-23 00:00:05,0.305,0.695
2025-08-24 00:00:05,0.305,
2025-08-25 00:00:13,0.305,
2025-08-26 00:00:04,0.305,0.695
2025-08-27 00:00:15,0.31,
2025-08-28 00:00:08,0.305,0.695
2025-08-29 00:00:15,0.305,
2025-08-30 00:00:10,0.305,
2025-08-31 00:00:15,0.305,
2025-09-01 00:00:11,0.3,0.7
2025-09-02 00:00:06,0.27,0.73
2025-09-03 00:00:09,0.27,
2025-09-04 00:00:05,0.27,
2025-09-05 00:00:10,0.28,
2025-09-06 00:00:20,0.28,
2025-09-07 00:00:05,0.26,
2025-09-08 00:00:15,0.26,
2025-09-09 00:00:12,0.26,
2025-09-10 00:00:05,0.265,
2025-09-11 00:00:14,0.265,0.735
2025-09-12 00:00:07,0.265,
2025-09-13 00:00:09,0.265,
2025-09-14 00:00:07,0.265,
2025-09-15 00:00:05,0.265,
2025-09-16 00:00:05,0.265,
2025-09-17 00:00:04,0.18,
2025-09-18 00:00:05,0.18,
2025-09-19 00:00:09,0.18,0.82
2025-09-20 00:00:21,0.18,
2025-09-21 00:00:08,0.235,
2025-09-22 00:00:10,0.235,
2025-09-23 00:00:08,0.235,
2025-09-24 00:00:11,0.235,
2025-09-25 00:00:06,0.235,
2025-09-26 00:00:12,0.165,
2025-09-27 00:00:04,0.165,
2025-09-28 00:00:07,0.17,
2025-09-29 00:00:03,0.17,
2025-09-30 00:00:10,0.165,
2025-10-01 00:00:02,0.165,
2025-10-02 00:00:03,0.165,0.835
2025-10-03 00:00:05,0.155,
2025-10-04 00:00:05,0.15,
2025-10-05 00:00:05,0.15,
2025-10-06 00:00:06,0.185,
2025-10-07 00:00:03,0.185,
2025-10-08 00:00:06,0.18,
2025-10-09 00:00:11,0.185,
2025-10-10 00:00:16,0.185,
2025-10-11 00:00:12,0.12,
2025-10-12 00:00:04,0.14,
2025-10-13 00:00:17,0.11,
2025-10-14 00:00:17,0.11,
2025-10-15 00:00:16,0.11,
2025-10-16 00:00:19,0.115,
2025-10-17 00:00:05,0.115,0.885
2025-10-18 00:00:08,0.11,
2025-10-19 00:00:09,0.11,
2025-10-20 00:00:08,0.12,
2025-10-21 00:00:17,0.155,
2025-10-22 00:00:03,0.21,
2025-10-23 00:00:05,0.215,
2025-10-23 13:08:03,0.16,
