timestamp,yes,no
2025-07-23 00:00:09,0.43,0.57
2025-07-24 00:00:09,0.315,0.685
2025-07-25 00:00:09,0.405,0.595
2025-07-26 00:00:09,0.39,0.61
2025-07-27 00:00:10,0.42,0.58
2025-07-28 00:00:09,0.365,0.635
2025-07-29 00:00:10,0.35,0.65
2025-07-30 00:00:10,0.32,0.68
2025-07-31 00:00:08,0.41,0.59
2025-08-01 00:00:09,0.595,0.405
2025-08-02 00:00:09,0.635,0.365
2025-08-03 00:00:08,0.605,0.395
2025-08-04 00:00:07,0.715,0.285
2025-08-05 00:00:08,0.675,0.325
2025-08-06 00:00:09,0.62,0.38
2025-08-07 00:00:10,0.63,
2025-08-08 00:00:08,0.53,
2025-08-09 00:00:04,0.635,
2025-08-10 00:00:08,0.58,
2025-08-11 00:00:02,0.5,0.5
2025-08-12 00:00:07,0.705,
2025-08-13 00:00:05,0.74,
2025-08-14 00:00:06,0.81,0.19
2025-08-15 00:00:05,0.675,
2025-08-16 00:00:08,0.63,
2025-08-17 00:00:04,0.5,
2025-08-18 00:00:08,0.375,
2025-08-19 00:00:07,0.315,
2025-08-20 00:00:08,0.305,
2025-08-21 00:00:10,0.245,0.755
2025-08-22 00:00:10,0.155,
2025-08-23 00:00:12,0.16,
2025-08-24 00:00:07,0.175,
2025-08-25 00:00:05,0.105,0.895
2025-08-26 00:00:08,0.09,
2025-08-27 00:00:07,0.065,
2025-08-28 00:00:02,0.06,
2025-08-29 00:00:11,0.035,
2025-08-30 00:00:07,0.0095,
2025-08-31 00:00:02,0.027,
2025-09-01 00:00:07,0.003,
