timestamp,yes,no
2025-06-17 00:00:08,0.08,0.92
2025-06-18 00:00:08,0.0095,0.9905
2025-06-19 00:00:07,0.0135,0.9865
2025-06-20 00:00:08,0.007,0.993
2025-06-21 00:00:08,0.0035,0.9965
2025-06-22 00:00:06,0.006,0.994
2025-06-23 00:00:07,0.006,0.994
2025-06-24 00:00:07,0.0065,0.9935
2025-06-25 00:00:07,0.0095,0.9905
2025-06-26 00:00:08,0.008,0.992
2025-06-27 00:00:07,0.0085,0.9915
2025-06-28 00:00:07,0.0135,0.9865
2025-06-29 00:00:08,0.015,0.985
2025-06-30 00:00:07,0.0145,0.9855
2025-07-01 00:00:08,0.0435,0.9565
2025-07-02 00:00:07,0.0115,0.9885
2025-07-03 00:00:08,0.029,0.971
2025-07-04 00:00:08,0.0105,0.9895
2025-07-05 00:00:08,0.011,0.989
2025-07-06 00:00:07,0.0085,0.9915
2025-07-07 00:00:07,0.014,0.986
2025-07-08 00:00:08,0.0185,0.9815
2025-07-09 00:00:07,0.013,0.987
2025-07-10 00:00:08,0.0195,0.9805
2025-07-11 00:00:08,0.024,0.976
2025-07-12 00:00:09,0.006,0.994
2025-07-13 00:00:08,0.008,0.992
2025-07-14 00:00:07,0.0075,0.9925
2025-07-15 00:00:08,0.0075,0.9925
2025-07-16 00:00:08,0.0075,0.9925
2025-07-17 00:00:08,0.0025,0.9975
2025-07-18 00:00:08,0.0045,0.9955
2025-07-19 00:00:09,0.0045,0.9955
2025-07-20 00:00:08,0.005,0.995
2025-07-21 00:00:07,0.0045,0.9955
2025-07-22 00:00:09,0.005,0.995
2025-07-23 00:00:09,0.0035,0.9965
2025-07-24 00:00:09,0.005,0.995
2025-07-25 00:00:09,0.0035,0.9965
2025-07-26 00:00:09,0.0015,0.9985
2025-07-27 00:00:10,0.0035,0.9965
2025-07-28 00:00:09,0.004,0.996
2025-07-29 00:00:10,0.002,0.998
2025-07-30 00:00:10,0.0015,0.9985
