timestamp,yes,no
2025-04-22 00:00:06,0.355,0.645
2025-04-23 00:00:07,0.365,0.635
2025-04-24 00:00:06,0.395,0.605
2025-04-25 00:00:06,0.4,0.6
2025-04-26 00:00:06,0.34,0.66
2025-04-27 00:00:05,0.34,0.66
2025-04-28 00:00:05,0.355,0.645
2025-04-29 00:00:05,0.4,0.6
2025-04-30 00:00:06,0.44,0.56
2025-05-01 00:00:06,0.455,0.545
2025-05-02 00:00:06,0.46,0.54
2025-05-03 00:00:06,0.46,0.54
2025-05-04 00:00:05,0.46,0.54
2025-05-05 00:00:05,0.52,0.48
2025-05-06 00:00:06,0.535,0.465
2025-05-07 00:00:05,0.485,0.515
2025-05-08 00:00:06,0.405,0.595
