timestamp,yes,no
2025-05-16 00:00:06,0.0695,0.9305
2025-05-17 00:00:07,0.03,0.97
2025-05-18 00:00:06,0.034,0.966
2025-05-19 00:00:06,0.024,0.976
2025-05-20 00:00:06,0.0155,0.9845
2025-05-21 00:00:06,0.013,0.987
2025-05-22 00:00:07,0.013,0.987
2025-05-23 00:00:07,0.0085,0.9915
2025-05-24 00:00:07,0.01,0.99
2025-05-25 00:00:06,0.0085,0.9915
2025-05-26 00:00:07,0.0105,0.9895
2025-05-27 00:00:06,0.0065,0.9935
2025-05-28 00:00:06,0.0065,0.9935
2025-05-29 00:00:07,0.0025,0.9975
2025-05-30 00:00:07,0.0015,0.9985
2025-05-31 00:00:07,0.003,0.997
2025-06-01 00:00:07,0.0015,0.9985
