timestamp,yes,no
2025-04-10 00:00:05,0.435,0.565
2025-04-11 00:00:05,0.2,0.8
2025-04-12 00:00:06,0.33,0.67
2025-04-13 00:00:05,0.33,0.67
2025-04-14 00:00:05,0.33,0.67
2025-04-15 00:00:05,0.28,0.72
2025-04-16 00:00:05,0.295,0.705
2025-04-17 00:00:06,0.285,0.715
2025-04-18 00:00:04,0.285,0.715
2025-04-19 00:00:06,0.325,0.675
2025-04-20 00:00:06,0.335,0.665
2025-04-21 00:00:06,0.33,0.67
2025-04-22 00:00:06,0.32,0.68
2025-04-23 00:00:07,0.31,0.69
2025-04-24 00:00:06,0.32,0.68
2025-04-25 00:00:06,0.31,0.69
2025-04-26 00:00:06,0.31,0.69
2025-04-27 00:00:05,0.205,0.795
2025-04-28 00:00:05,0.24,0.76
2025-04-29 00:00:05,0.37,0.63
2025-04-30 00:00:06,0.795,0.205
2025-05-01 00:00:06,0.922,0.078
2025-05-02 00:00:06,0.9735,0.0265
2025-05-03 00:00:06,0.974,0.026
2025-05-04 00:00:05,0.9745,0.0255
2025-05-05 00:00:05,0.972,0.028
2025-05-06 00:00:06,0.9765,0.0235
2025-05-07 00:00:05,0.9655,0.0345
2025-05-08 00:00:06,0.873,0.127
2025-05-09 00:00:07,0.8585,0.1415
2025-05-10 00:00:06,0.893,0.107
2025-05-11 00:00:06,0.9605,0.0395
2025-05-12 00:00:06,0.903,0.097
2025-05-13 00:00:06,0.91,0.09
2025-05-14 00:00:07,0.958,0.042
2025-05-15 00:00:07,0.9575,0.0425
2025-05-16 00:00:06,0.884,0.116
2025-05-17 00:00:07,0.925,0.075
2025-05-18 00:00:06,0.9505,0.0495
2025-05-19 00:00:06,0.955,0.045
2025-05-20 00:00:06,0.957,0.043
2025-05-21 00:00:06,0.956,0.044
2025-05-22 00:00:07,0.9545,0.0455
2025-05-23 00:00:07,0.9365,0.0635
2025-05-24 00:00:07,0.9165,0.0835
2025-05-25 00:00:06,0.918,0.082
2025-05-26 00:00:07,0.9195,0.0805
2025-05-27 00:00:06,0.9045,0.0955
2025-05-28 00:00:06,0.894,0.106
2025-05-29 00:00:07,0.898,0.102
2025-05-30 00:00:07,0.9245,0.0755
2025-05-31 00:00:07,0.915,0.085
2025-06-01 00:00:07,0.91,0.09
2025-06-02 00:00:06,0.9075,0.0925
2025-06-03 00:00:07,0.9155,0.0845
2025-06-04 00:00:06,0.9285,0.0715
2025-06-05 00:00:06,0.913,0.087
2025-06-06 00:00:06,0.905,0.095
2025-06-07 00:00:07,0.905,0.095
2025-06-08 00:00:07,0.9255,0.0745
2025-06-09 00:00:07,0.934,0.066
2025-06-10 00:00:06,0.91,0.09
2025-06-11 00:00:07,0.908,0.092
2025-06-12 00:00:07,0.9265,0.0735
2025-06-13 00:00:07,0.8985,0.1015
2025-06-14 00:00:08,0.92,0.08
2025-06-15 00:00:08,0.9125,0.0875
2025-06-16 00:00:07,0.9445,0.0555
2025-06-17 00:00:08,0.956,0.044
2025-06-18 00:00:08,0.9265,0.0735
2025-06-19 00:00:07,0.931,0.069
2025-06-20 00:00:08,0.924,0.076
2025-06-21 00:00:08,0.9055,0.0945
2025-06-22 00:00:06,0.905,0.095
2025-06-23 00:00:07,0.9155,0.0845
2025-06-24 00:00:07,0.9155,0.0845
