timestamp,yes,no
2025-05-20 00:00:06,0.475,0.525
2025-05-21 00:00:06,0.41,0.59
2025-05-22 00:00:07,0.36,0.64
2025-05-23 00:00:07,0.365,0.635
2025-05-24 00:00:07,0.355,0.645
2025-05-25 00:00:06,0.345,0.655
2025-05-26 00:00:07,0.345,0.655
2025-05-27 00:00:06,0.34,0.66
2025-05-28 00:00:06,0.345,0.655
2025-05-29 00:00:07,0.325,0.675
2025-05-30 00:00:07,0.315,0.685
2025-05-31 00:00:07,0.325,0.675
2025-06-01 00:00:07,0.325,0.675
2025-06-02 00:00:06,0.32,0.68
2025-06-03 00:00:07,0.325,0.675
2025-06-04 00:00:06,0.325,0.675
2025-06-05 00:00:06,0.325,0.675
2025-06-06 00:00:06,0.335,0.665
2025-06-07 00:00:07,0.335,0.665
2025-06-08 00:00:07,0.335,0.665
2025-06-09 00:00:07,0.335,0.665
2025-06-10 00:00:06,0.335,0.665
2025-06-11 00:00:07,0.345,0.655
2025-06-12 00:00:07,0.355,0.645
2025-06-13 00:00:07,0.355,0.645
2025-06-14 00:00:08,0.355,0.645
2025-06-15 00:00:08,0.355,0.645
2025-06-16 00:00:07,0.355,0.645
2025-06-17 00:00:08,0.355,0.645
2025-06-18 00:00:08,0.355,0.645
2025-06-19 00:00:07,0.355,0.645
2025-06-20 00:00:08,0.355,0.645
2025-06-21 00:00:08,0.355,0.645
2025-06-22 00:00:06,0.365,0.635
2025-06-23 00:00:07,0.365,0.635
2025-06-24 00:00:07,0.335,0.665
2025-06-25 00:00:07,0.345,0.655
2025-06-26 00:00:08,0.345,0.655
2025-06-27 00:00:07,0.23,0.77
2025-06-28 00:00:07,0.37,0.63
2025-06-29 00:00:08,0.365,0.635
2025-06-30 00:00:07,0.405,0.595
2025-07-01 00:00:08,0.41,0.59
2025-07-02 00:00:07,0.465,0.535
2025-07-03 00:00:08,0.45,0.55
2025-07-04 00:00:08,0.475,0.525
2025-07-05 00:00:08,0.47,0.53
2025-07-06 00:00:07,0.465,0.535
2025-07-07 00:00:07,0.47,0.53
2025-07-08 00:00:08,0.48,0.52
2025-07-09 00:00:07,0.515,0.485
2025-07-10 00:00:08,0.585,0.415
2025-07-11 00:00:08,0.6,0.4
2025-07-12 00:00:09,0.61,0.39
2025-07-13 00:00:08,0.615,0.385
2025-07-14 00:00:07,0.625,0.375
2025-07-15 00:00:08,0.63,0.37
2025-07-16 00:00:08,0.695,0.305
2025-07-17 00:00:08,0.675,0.325
2025-07-18 00:00:08,0.665,0.335
2025-07-19 00:00:09,0.685,0.315
2025-07-20 00:00:08,0.635,0.365
2025-07-21 00:00:07,0.5,0.5
2025-07-22 00:00:09,0.51,0.49
2025-07-23 00:00:09,0.51,0.49
2025-07-24 00:00:09,0.51,0.49
2025-07-25 00:00:09,0.505,0.495
2025-07-26 00:00:09,0.475,0.525
2025-07-27 00:00:10,0.3,0.7
2025-07-28 00:00:09,0.49,0.51
2025-07-29 00:00:10,0.485,0.515
2025-07-30 00:00:10,0.485,0.515
2025-07-31 00:00:08,0.475,0.525
2025-08-01 00:00:09,0.475,0.525
2025-08-02 00:00:09,0.475,0.525
