timestamp,yes,no
2024-06-13 00:00:03,0.07,0.93
2024-06-14 00:00:03,0.07,0.93
2024-06-15 00:00:04,0.075,0.925
2024-06-16 00:00:04,0.0745,0.9255
2024-06-17 00:00:04,0.0745,0.9255
2024-06-18 00:00:03,0.074,0.926
2024-06-19 00:00:03,0.077,0.923
2024-06-20 00:00:04,0.076,0.924
2024-06-21 00:00:03,0.076,0.924
2024-06-22 00:00:02,0.0655,0.9345
2024-06-23 00:00:03,0.065,0.935
2024-06-24 00:00:03,0.065,0.935
2024-06-25 00:00:03,0.065,0.935
2024-06-26 00:00:03,0.065,0.935
2024-06-27 00:00:02,0.066,0.934
2024-06-28 00:00:03,0.073,0.927
2024-06-29 00:00:02,0.0655,0.9345
2024-06-30 00:00:02,0.0675,0.9325
2024-07-01 00:00:02,0.068,0.932
2024-07-02 00:00:03,0.067,0.933
2024-07-03 00:00:02,0.0675,0.9325
2024-07-04 00:00:03,0.067,0.933
2024-07-05 00:00:02,0.071,0.929
2024-07-06 00:00:02,0.068,0.932
2024-07-07 00:00:02,0.0675,0.9325
2024-07-08 00:00:02,0.065,0.935
2024-07-09 00:00:02,0.0625,0.9375
2024-07-10 00:00:03,0.063,0.937
2024-07-11 00:00:03,0.066,0.934
2024-07-12 00:00:02,0.0735,0.9265
2024-07-13 00:00:03,0.0755,0.9245
2024-07-14 00:00:02,0.0745,0.9255
2024-07-15 00:00:03,0.0755,0.9245
2024-07-16 00:00:02,0.0885,0.9115
2024-07-17 00:00:01,0.0745,0.9255
2024-07-18 00:00:02,0.0425,0.9575
2024-07-19 00:00:01,0.054,0.946
2024-07-20 00:00:01,0.051,0.949
2024-07-21 00:00:01,0.051,0.949
2024-07-22 00:00:01,0.0545,0.9455
2024-07-23 00:00:01,0.046,0.954
2024-07-24 00:00:01,0.0465,0.9535
2024-07-25 00:00:01,0.0565,0.9435
2024-07-26 00:00:02,0.0765,0.9235
2024-07-27 00:00:02,0.0495,0.9505
2024-07-28 00:00:02,0.0475,0.9525
2024-07-29 00:00:02,0.0515,0.9485
2024-07-30 00:00:01,0.0505,0.9495
2024-07-31 00:00:02,0.0425,0.9575
