timestamp,yes,no
2024-08-03 00:00:02,0.315,0.685
2024-08-04 00:00:01,0.37,0.63
2024-08-05 00:00:01,0.355,0.645
2024-08-06 00:00:01,0.345,0.655
2024-08-07 00:00:01,0.38,0.62
2024-08-08 00:00:01,0.4,0.6
2024-08-09 00:00:02,0.415,0.585
2024-08-10 00:00:02,0.48,0.52
2024-08-11 00:00:01,0.47,0.53
2024-08-12 00:00:01,0.46,0.54
2024-08-13 00:00:02,0.43,0.57
2024-08-14 00:00:02,0.455,0.545
2024-08-15 00:00:02,0.475,0.525
2024-08-16 00:00:02,0.485,0.515
2024-08-17 00:00:02,0.515,0.485
2024-08-18 00:00:02,0.525,0.475
2024-08-19 00:00:02,0.525,0.475
2024-08-20 00:00:01,0.525,0.475
2024-08-21 00:00:02,0.505,0.495
2024-08-22 00:00:02,0.515,0.485
2024-08-23 00:00:02,0.515,0.485
2024-08-24 00:00:02,0.625,0.375
2024-08-25 00:00:01,0.565,0.435
2024-08-26 00:00:02,0.555,0.445
2024-08-27 00:00:01,0.555,0.445
2024-08-28 00:00:01,0.555,0.445
2024-08-29 00:00:02,0.55,0.45
2024-08-30 00:00:02,0.555,0.445
2024-08-31 00:00:02,0.555,0.445
2024-09-01 00:00:02,0.555,0.445
2024-09-02 00:00:02,0.555,0.445
2024-09-03 00:00:02,0.555,0.445
2024-09-04 00:00:02,0.545,0.455
2024-09-05 00:00:02,0.515,0.485
2024-09-06 00:00:02,0.515,0.485
2024-09-07 00:00:02,0.445,0.555
2024-09-08 00:00:02,0.44,0.56
2024-09-09 00:00:01,0.43,0.57
2024-09-10 00:00:02,0.425,0.575
2024-09-11 00:00:01,0.445,0.555
2024-09-12 00:00:02,0.455,0.545
2024-09-13 00:00:02,0.445,0.555
2024-09-14 00:00:02,0.475,0.525
2024-09-15 00:00:02,0.465,0.535
2024-09-16 00:00:02,0.455,0.545
2024-09-17 00:00:02,0.435,0.565
2024-09-18 00:00:02,0.445,0.555
2024-09-19 00:00:01,0.615,0.385
2024-09-20 00:00:02,0.56,0.44
2024-09-21 00:00:02,0.515,0.485
2024-09-22 00:00:02,0.505,0.495
2024-09-23 00:00:02,0.445,0.555
2024-09-24 00:00:02,0.51,0.49
2024-09-25 00:00:02,0.44,0.56
2024-09-26 00:00:02,0.425,0.575
2024-09-27 00:00:02,0.48,0.52
2024-09-28 00:00:02,0.495,0.505
2024-09-29 00:00:03,0.485,0.515
2024-09-30 00:00:03,0.505,0.495
2024-10-01 00:00:02,0.64,0.36
2024-10-02 00:00:02,0.62,0.38
2024-10-03 00:00:02,0.63,0.37
2024-10-04 00:00:02,0.66,0.34
2024-10-05 00:00:02,0.79,0.21
2024-10-06 00:00:02,0.805,0.195
2024-10-07 00:00:02,0.82,0.18
2024-10-08 00:00:02,0.735,0.265
2024-10-09 00:00:02,0.785,0.215
2024-10-10 00:00:02,0.75,0.25
2024-10-11 00:00:03,0.765,0.235
2024-10-12 00:00:02,0.795,0.205
2024-10-13 00:00:03,0.795,0.205
2024-10-14 00:00:02,0.795,0.205
2024-10-15 00:00:02,0.755,0.245
2024-10-16 00:00:03,0.805,0.195
2024-10-17 00:00:02,0.8,0.2
2024-10-18 00:00:02,0.79,0.21
2024-10-19 00:00:02,0.84,0.16
2024-10-20 00:00:02,0.85,0.15
2024-10-21 00:00:02,0.865,0.135
2024-10-22 00:00:02,0.835,0.165
2024-10-23 00:00:02,0.82,0.18
2024-10-24 00:00:03,0.82,0.18
2024-10-25 00:00:03,0.835,0.165
2024-10-26 00:00:03,0.825,0.175
2024-10-27 00:00:03,0.835,0.165
2024-10-28 00:00:03,0.825,0.175
2024-10-29 00:00:02,0.84,0.16
2024-10-30 00:00:03,0.845,0.155
2024-10-31 00:00:03,0.855,0.145
2024-11-01 00:00:03,0.835,0.165
2024-11-02 00:00:03,0.925,0.075
2024-11-03 00:00:03,0.925,0.075
2024-11-04 00:00:03,0.93,0.07
2024-11-05 00:00:02,0.935,0.065
2024-11-06 00:00:02,0.935,0.065
2024-11-07 00:00:03,0.9535,0.0465
