timestamp,yes,no
2024-08-03 00:00:02,0.215,0.785
2024-08-04 00:00:01,0.215,0.785
2024-08-05 00:00:01,0.2,0.8
2024-08-06 00:00:01,0.17,0.83
2024-08-07 00:00:01,0.13,0.87
2024-08-08 00:00:01,0.15,0.85
2024-08-09 00:00:02,0.16,0.84
2024-08-10 00:00:02,0.15,0.85
2024-08-11 00:00:01,0.15,0.85
2024-08-12 00:00:01,0.165,0.835
2024-08-13 00:00:02,0.2,0.8
2024-08-14 00:00:02,0.19,0.81
2024-08-15 00:00:02,0.185,0.815
2024-08-16 00:00:02,0.205,0.795
2024-08-17 00:00:02,0.215,0.785
2024-08-18 00:00:02,0.225,0.775
2024-08-19 00:00:02,0.215,0.785
2024-08-20 00:00:01,0.215,0.785
2024-08-21 00:00:02,0.21,0.79
2024-08-22 00:00:02,0.18,0.82
2024-08-23 00:00:02,0.125,0.875
2024-08-24 00:00:02,0.065,0.935
2024-08-25 00:00:01,0.145,0.855
2024-08-26 00:00:02,0.125,0.875
2024-08-27 00:00:01,0.115,0.885
2024-08-28 00:00:01,0.12,0.88
2024-08-29 00:00:02,0.125,0.875
2024-08-30 00:00:02,0.125,0.875
2024-08-31 00:00:02,0.115,0.885
2024-09-01 00:00:02,0.115,0.885
2024-09-02 00:00:02,0.115,0.885
2024-09-03 00:00:02,0.115,0.885
2024-09-04 00:00:02,0.105,0.895
2024-09-05 00:00:02,0.105,0.895
2024-09-06 00:00:02,0.105,0.895
2024-09-07 00:00:02,0.08,0.92
2024-09-08 00:00:02,0.065,0.935
2024-09-09 00:00:01,0.075,0.925
2024-09-10 00:00:02,0.065,0.935
2024-09-11 00:00:01,0.055,0.945
2024-09-12 00:00:02,0.055,0.945
2024-09-13 00:00:02,0.055,0.945
2024-09-14 00:00:02,0.065,0.935
2024-09-15 00:00:02,0.055,0.945
2024-09-16 00:00:02,0.07,0.93
2024-09-17 00:00:02,0.065,0.935
2024-09-18 00:00:02,0.075,0.925
2024-09-19 00:00:01,0.07,0.93
2024-09-20 00:00:02,0.065,0.935
2024-09-21 00:00:02,0.06,0.94
2024-09-22 00:00:02,0.045,0.955
2024-09-23 00:00:02,0.055,0.945
2024-09-24 00:00:02,0.055,0.945
2024-09-25 00:00:02,0.05,0.95
2024-09-26 00:00:02,0.05,0.95
2024-09-27 00:00:02,0.0425,0.9575
2024-09-28 00:00:02,0.036,0.964
2024-09-29 00:00:03,0.0325,0.9675
2024-09-30 00:00:03,0.0325,0.9675
2024-10-01 00:00:02,0.035,0.965
2024-10-02 00:00:02,0.0375,0.9625
2024-10-03 00:00:02,0.048,0.952
2024-10-04 00:00:02,0.043,0.957
2024-10-05 00:00:02,0.085,0.915
2024-10-06 00:00:02,0.075,0.925
2024-10-07 00:00:02,0.0765,0.9235
2024-10-08 00:00:02,0.1685,0.8315
2024-10-09 00:00:02,0.1295,0.8705
2024-10-10 00:00:02,0.172,0.828
2024-10-11 00:00:03,0.157,0.843
2024-10-12 00:00:02,0.118,0.882
2024-10-13 00:00:03,0.119,0.881
2024-10-14 00:00:02,0.1095,0.8905
2024-10-15 00:00:02,0.1585,0.8415
2024-10-16 00:00:03,0.108,0.892
2024-10-17 00:00:02,0.1075,0.8925
2024-10-18 00:00:02,0.13,0.87
2024-10-19 00:00:02,0.1065,0.8935
2024-10-20 00:00:02,0.0925,0.9075
2024-10-21 00:00:02,0.0955,0.9045
2024-10-22 00:00:02,0.1115,0.8885
2024-10-23 00:00:02,0.121,0.879
2024-10-24 00:00:03,0.133,0.867
2024-10-25 00:00:03,0.1175,0.8825
2024-10-26 00:00:03,0.1195,0.8805
2024-10-27 00:00:03,0.1165,0.8835
2024-10-28 00:00:03,0.125,0.875
2024-10-29 00:00:02,0.1145,0.8855
2024-10-30 00:00:03,0.1005,0.8995
2024-10-31 00:00:03,0.0865,0.9135
2024-11-01 00:00:03,0.099,0.901
2024-11-02 00:00:03,0.029,0.971
2024-11-03 00:00:03,0.023,0.977
2024-11-04 00:00:03,0.032,0.968
2024-11-05 00:00:02,0.034,0.966
2024-11-06 00:00:02,0.035,0.965
2024-11-07 00:00:03,0.025,0.975
