timestamp,yes,no
2025-06-20 00:00:08,0.475,0.525
2025-06-21 00:00:08,0.515,0.485
2025-06-22 00:00:06,0.505,0.495
2025-06-23 00:00:07,0.505,0.495
2025-06-24 00:00:07,0.49,0.51
2025-06-25 00:00:07,0.435,0.565
2025-06-26 00:00:08,0.425,0.575
2025-06-27 00:00:07,0.405,0.595
2025-06-28 00:00:07,0.325,0.675
2025-06-29 00:00:08,0.305,0.695
2025-06-30 00:00:07,0.32,0.68
2025-07-01 00:00:08,0.305,0.695
2025-07-02 00:00:07,0.305,0.695
2025-07-03 00:00:08,0.365,0.635
2025-07-04 00:00:08,0.385,0.615
2025-07-05 00:00:08,0.39,0.61
2025-07-06 00:00:07,0.415,0.585
2025-07-07 00:00:07,0.41,0.59
2025-07-08 00:00:08,0.405,0.595
2025-07-09 00:00:07,0.39,0.61
2025-07-10 00:00:08,0.385,0.615
2025-07-11 00:00:08,0.37,0.63
2025-07-12 00:00:09,0.37,0.63
2025-07-13 00:00:08,0.375,0.625
2025-07-14 00:00:07,0.375,0.625
2025-07-15 00:00:08,0.37,0.63
2025-07-16 00:00:08,0.37,0.63
2025-07-17 00:00:08,0.375,0.625
2025-07-18 00:00:08,0.395,0.605
2025-07-19 00:00:09,0.405,0.595
2025-07-20 00:00:08,0.44,0.56
2025-07-21 00:00:07,0.435,0.565
2025-07-22 00:00:09,0.435,0.565
2025-07-23 00:00:09,0.435,0.565
2025-07-24 00:00:09,0.455,0.545
2025-07-25 00:00:09,0.45,0.55
2025-07-26 00:00:09,0.46,0.54
2025-07-27 00:00:10,0.455,0.545
2025-07-28 00:00:09,0.455,0.545
2025-07-29 00:00:10,0.455,0.545
2025-07-30 00:00:10,0.455,0.545
2025-07-31 00:00:08,0.49,0.51
2025-08-01 00:00:09,0.52,0.48
2025-08-02 00:00:09,0.355,0.645
2025-08-03 00:00:08,0.355,0.645
2025-08-04 00:00:07,0.34,0.66
2025-08-05 00:00:08,0.35,0.65
2025-08-06 00:00:09,0.345,0.655
2025-08-07 00:00:04,0.345,
2025-08-08 00:00:07,0.35,
2025-08-09 00:00:08,0.335,
2025-08-10 00:00:07,0.34,
2025-08-11 00:00:07,0.355,
2025-08-12 00:00:06,0.36,
2025-08-13 00:00:09,0.365,0.635
2025-08-14 00:00:02,0.34,0.66
2025-08-15 00:00:06,0.365,
2025-08-16 00:00:03,0.37,
2025-08-17 00:00:10,0.365,0.635
2025-08-18 00:00:07,0.365,
2025-08-19 00:00:05,0.365,
2025-08-20 00:00:05,0.365,
2025-08-21 00:00:06,0.37,
2025-08-22 00:00:02,0.39,0.61
2025-08-23 00:00:04,0.445,
2025-08-24 00:00:02,0.425,
2025-08-25 00:00:06,0.45,
2025-08-26 00:00:06,0.45,
2025-08-27 00:00:08,0.45,
2025-08-28 00:00:06,0.45,
2025-08-29 00:00:11,0.45,
2025-08-30 00:00:12,0.45,
2025-08-31 00:00:10,0.435,
2025-09-01 00:00:06,0.445,
2025-09-02 00:00:11,0.455,
2025-09-03 00:00:15,0.44,
2025-09-04 00:00:05,0.435,
2025-09-05 00:00:09,0.455,
2025-09-06 00:00:17,0.36,
2025-09-07 00:00:04,0.425,
2025-09-08 00:00:17,0.4,
2025-09-09 00:00:10,0.42,
2025-09-10 00:00:14,0.375,
2025-09-11 00:00:12,0.285,
2025-09-12 00:00:05,0.265,
2025-09-13 00:00:08,0.26,
2025-09-14 00:00:11,0.26,
2025-09-15 00:00:04,0.225,
2025-09-16 00:00:23,0.22,
2025-09-17 00:00:13,0.195,
2025-09-18 00:00:09,0.145,
2025-09-19 00:00:15,0.115,
2025-09-20 00:00:18,0.105,
2025-09-21 00:00:11,0.105,
2025-09-22 00:00:16,0.105,
2025-09-23 00:00:05,0.125,
2025-09-24 00:00:07,0.125,
2025-09-25 00:00:07,0.135,
2025-09-26 00:00:04,0.165,
2025-09-27 00:00:05,0.155,
2025-09-28 00:00:14,0.155,
2025-09-29 00:00:07,0.155,
2025-09-30 00:00:02,0.155,
2025-10-01 00:00:05,0.105,
2025-10-02 00:00:07,0.055,0.945
2025-10-03 00:00:11,0.065,
2025-10-04 00:00:10,0.065,
2025-10-05 00:00:07,0.065,
2025-10-06 00:00:05,0.075,
2025-10-07 00:00:09,0.075,
2025-10-08 00:00:14,0.085,
2025-10-09 00:00:07,0.085,
2025-10-10 00:00:08,0.075,
2025-10-11 00:00:04,0.065,
2025-10-12 00:00:06,0.055,
2025-10-13 00:00:16,0.055,0.945
2025-10-14 00:00:03,0.055,
2025-10-15 00:00:13,0.045,
2025-10-16 00:00:17,0.0315,
2025-10-17 00:00:08,0.0275,
2025-10-18 00:00:18,0.0245,
2025-10-19 00:00:15,0.0265,
2025-10-20 00:00:21,0.026,
2025-10-21 00:00:12,0.0235,
2025-10-22 00:00:23,0.0225,
2025-10-23 00:00:12,0.0235,0.9765
2025-10-23 12:01:05,0.0215,0.9785
