timestamp,yes,no
2023-02-22 00:00:19,0.13,0.88
2023-02-23 00:00:35,0.18,0.83
2023-02-24 00:00:26,0.17,0.83
2023-02-25 00:00:05,0.17,0.83
2023-02-26 00:00:29,0.17,0.83
2023-02-27 00:00:26,0.17,0.83
2023-02-28 00:00:03,0.17,0.83
2023-03-01 00:00:18,0.17,0.84
2023-03-02 00:00:26,0.16,0.84
2023-03-03 00:00:31,0.16,0.84
2023-03-04 00:00:15,0.16,0.84
2023-03-05 00:00:51,0.16,0.84
2023-03-06 00:00:14,0.16,0.84
2023-03-07 00:00:05,0.16,0.84
2023-03-08 00:00:50,0.13,0.87
2023-03-09 00:00:32,0.13,0.87
2023-03-10 00:00:35,0.13,0.87
2023-03-11 00:00:54,0.34,0.66
2023-03-12 00:00:54,0.38,0.62
2023-03-14 00:00:49,0.42,0.58
2023-03-15 00:00:25,0.44,0.55
2023-03-16 00:00:06,0.54,0.47
2023-03-17 00:00:03,0.47,0.53
2023-03-18 00:00:45,0.43,0.57
2023-03-19 00:00:22,0.5,0.51
2023-03-20 00:00:30,0.5,0.51
2023-03-21 00:00:35,0.53,0.47
2023-03-23 00:00:39,0.53,0.48
2023-03-24 00:00:48,0.53,0.48
2023-03-25 00:00:22,0.61,0.4
2023-03-26 00:00:06,0.62,0.39
2023-03-27 00:00:45,0.6,0.4
2023-03-28 00:00:19,0.55,0.44
2023-03-29 00:00:49,0.54,0.45
2023-03-30 00:00:16,0.55,0.45
2023-03-31 00:00:17,0.54,0.46
2023-04-01 00:00:48,0.54,0.47
2023-04-02 00:00:52,0.53,0.48
2023-04-03 00:00:00,0.53,0.48
2023-04-04 00:00:35,0.51,0.49
2023-04-05 00:00:24,0.51,0.5
2023-04-08 00:00:08,0.52,0.49
2023-04-09 00:00:48,0.52,0.49
2023-04-10 00:00:31,0.51,0.49
2023-04-11 00:00:29,0.53,0.48
2023-04-12 00:00:03,0.53,0.48
2023-04-13 00:00:22,0.51,0.49
2023-04-14 00:00:30,0.52,0.48
2023-04-15 00:00:26,0.51,0.49
2023-04-16 00:00:45,0.51,0.5
2023-04-17 00:00:23,0.51,0.5
2023-04-18 00:00:27,0.51,0.5
2023-04-19 00:00:23,0.51,0.5
2023-04-20 00:00:46,0.5,0.5
2023-04-21 00:00:40,0.51,0.49
2023-04-22 00:00:24,0.51,0.49
2023-04-23 00:00:24,0.51,0.49
2023-04-24 00:00:06,0.51,0.49
2023-04-25 00:00:30,0.51,0.49
2023-04-26 00:00:54,0.515,0.485
2023-04-27 00:00:53,0.555,0.445
2023-04-28 00:00:34,0.555,0.445
2023-04-30 00:00:13,0.43,0.57
2023-05-01 00:00:19,0.43,0.57
2023-05-02 00:00:47,0.445,0.555
2023-05-04 00:00:54,0.47,0.53
2023-05-05 00:00:04,0.525,0.475
2023-05-06 00:00:12,0.515,0.485
2023-05-07 00:00:24,0.505,0.495
2023-05-08 00:00:41,0.515,0.485
2023-05-09 00:00:08,0.52,0.48
2023-05-10 00:00:45,0.52,0.48
2023-05-11 00:00:36,0.515,0.485
2023-05-12 00:00:54,0.525,0.475
2023-05-13 00:00:42,0.495,0.505
2023-05-15 00:00:02,0.515,0.485
2023-05-16 00:00:23,0.475,0.525
2023-05-17 00:00:23,0.48,0.52
2023-05-18 00:00:02,0.465,0.535
2023-05-19 00:00:02,0.425,0.575
2023-05-20 00:00:02,0.39,0.61
2023-05-21 00:00:02,0.405,0.595
2023-05-22 00:00:02,0.405,0.595
2023-05-23 00:00:02,0.385,0.615
2023-05-24 00:00:02,0.39,0.61
2023-05-25 00:00:02,0.375,0.625
2023-05-26 00:00:02,0.38,0.62
2023-05-27 00:00:02,0.36,0.64
2023-05-28 00:00:02,0.36,0.64
2023-05-29 00:00:02,0.365,0.635
2023-05-30 00:00:02,0.335,0.665
2023-05-31 00:00:02,0.34,0.66
2023-06-01 00:00:02,0.32,0.68
2023-06-02 00:00:02,0.315,0.685
2023-06-03 00:00:02,0.295,0.705
2023-06-04 00:00:02,0.29,0.71
2023-06-05 00:00:02,0.275,0.725
2023-06-06 00:00:02,0.285,0.715
2023-06-07 00:00:02,0.295,0.705
2023-06-08 00:00:02,0.295,0.705
2023-06-09 00:00:02,0.295,0.705
2023-06-10 00:00:02,0.275,0.725
2023-06-11 00:00:02,0.295,0.705
2023-06-12 00:00:02,0.285,0.715
2023-06-13 00:00:02,0.275,0.725
2023-06-14 00:00:02,0.275,0.725
2023-06-15 00:00:02,0.165,0.835
2023-06-16 00:00:02,0.195,0.805
2023-06-17 00:00:02,0.19,0.81
2023-06-18 00:00:02,0.205,0.795
2023-06-19 00:00:02,0.205,0.795
2023-06-20 00:00:02,0.21,0.79
2023-06-21 00:00:02,0.215,0.785
2023-06-22 00:00:02,0.22,0.78
2023-06-23 00:00:02,0.205,0.795
2023-06-24 00:00:02,0.185,0.815
2023-06-25 00:00:02,0.185,0.815
2023-06-26 00:00:02,0.185,0.815
2023-06-27 00:00:02,0.185,0.815
2023-06-28 00:00:02,0.185,0.815
2023-06-29 00:00:02,0.175,0.825
