timestamp,yes,no
2023-10-24 00:00:02,0.8,0.2
2023-10-25 00:00:02,0.81,0.19
2023-10-26 00:00:02,0.81,0.19
2023-10-27 00:00:02,0.5,0.5
2023-10-28 00:00:02,0.5,0.5
2023-10-29 00:00:03,0.5,0.5
2023-10-30 00:00:03,0.5,0.5
2023-10-31 00:00:02,0.5,0.5
2023-11-01 00:00:02,0.5,0.5
2023-11-02 00:00:02,0.865,0.135
2023-11-03 00:00:02,0.86,0.14
2023-11-04 00:00:02,0.915,0.085
2023-11-05 00:00:02,0.92,0.08
2023-11-06 00:00:06,0.92,0.08
2023-11-07 00:00:02,0.94,0.06
2023-11-08 00:00:02,0.925,0.075
2023-11-09 00:00:03,0.935,0.065
2023-11-10 00:00:02,0.935,0.065
2023-11-11 00:00:02,0.925,0.075
2023-11-12 00:00:02,0.925,0.075
2023-11-13 00:00:02,0.935,0.065
2023-11-14 00:00:02,0.915,0.085
2023-11-15 00:00:02,0.97,0.03
2023-11-16 00:00:02,0.985,0.015
2023-11-17 00:00:03,0.981,0.019
2023-11-18 00:00:02,0.9825,0.0175
2023-11-19 00:00:03,0.99,0.01
2023-11-20 00:00:02,0.99,0.01
2023-11-21 00:00:02,0.99,0.01
2023-11-22 00:00:02,0.985,0.015
2023-11-23 00:00:02,0.984,0.016
2023-11-24 00:00:02,0.984,0.016
2023-11-25 00:00:02,0.984,0.016
2023-11-26 00:00:02,0.984,0.016
2023-11-27 00:00:02,0.984,0.016
2023-11-28 00:00:02,0.984,0.016
2023-11-29 00:00:02,0.9835,0.0165
2023-11-30 00:00:02,0.9835,0.0165
2023-12-01 00:00:02,0.5185,0.4815
2023-12-02 00:00:03,0.855,0.145
2023-12-03 00:00:02,0.939,0.061
2023-12-04 00:00:02,0.971,0.029
2023-12-05 00:00:02,0.97,0.03
2023-12-06 00:00:03,0.9735,0.0265
2023-12-07 00:00:02,0.974,0.026
2023-12-08 00:00:02,0.939,0.061
2023-12-09 00:00:02,0.954,0.046
2023-12-10 00:00:02,0.9885,0.0115
2023-12-11 00:00:02,0.991,0.009
2023-12-12 00:00:02,0.954,0.046
2023-12-13 00:00:02,0.982,0.018
