timestamp,yes,no
2023-12-09 00:00:02,0.51,0.49
2023-12-10 00:00:02,0.24,0.76
2023-12-11 00:00:02,0.14,0.86
2023-12-12 00:00:02,0.13,0.87
2023-12-13 00:00:02,0.255,0.745
2023-12-14 00:00:02,0.25,0.75
2023-12-15 00:00:02,0.015,0.985
2023-12-16 00:00:02,0.015,0.985
2023-12-17 00:00:02,0.015,0.985
2023-12-18 00:00:02,0.015,0.985
2023-12-19 00:00:02,0.015,0.985
2023-12-20 00:00:02,0.015,0.985
2023-12-21 00:00:03,0.015,0.985
2023-12-22 00:00:02,0.015,0.985
2023-12-23 00:00:02,0.015,0.985
2023-12-24 00:00:02,0.015,0.985
2023-12-25 00:00:02,0.015,0.985
2023-12-26 00:00:02,0.015,0.985
2023-12-27 00:00:03,0.015,0.985
2023-12-28 00:00:03,0.015,0.985
2023-12-29 00:00:02,0.015,0.985
2023-12-30 00:00:02,0.05,0.95
2023-12-31 00:00:02,0.035,0.965
2024-01-01 00:00:02,0.035,0.965
2024-01-02 00:00:02,0.0075,0.9925
2024-01-03 00:00:02,0.2455,0.7545
2024-01-04 00:00:02,0.0155,0.9845
2024-01-05 00:00:03,0.2455,0.7545
2024-01-06 00:00:02,0.013,0.987
2024-01-07 00:00:02,0.0125,0.9875
2024-01-08 00:00:02,0.0125,0.9875
2024-01-09 00:00:03,0.025,0.975
2024-01-10 00:00:03,0.5,0.5
2024-01-11 00:00:03,0.5,0.5
2024-01-12 00:00:03,0.25,0.75
2024-01-13 00:00:02,0.045,0.955
2024-01-14 00:00:02,0.013,0.987
2024-01-15 00:00:03,0.013,0.987
2024-01-16 00:00:02,0.013,0.987
2024-01-17 00:00:03,0.0065,0.9935
2024-01-18 00:00:02,0.005,0.995
2024-01-19 00:00:02,0.005,0.995
2024-01-20 00:00:03,0.005,0.995
2024-01-21 00:00:02,0.005,0.995
2024-01-22 00:00:02,0.005,0.995
2024-01-23 00:00:03,0.005,0.995
2024-01-24 00:00:02,0.005,0.995
2024-01-25 00:00:02,0.015,0.985
2024-01-26 00:00:02,0.015,0.985
2024-01-27 00:00:02,0.004,0.996
2024-01-28 00:00:02,0.0045,0.9955
2024-01-29 00:00:02,0.004,0.996
2024-01-30 00:00:02,0.003,0.997
2024-01-31 00:00:02,0.002,0.998
