timestamp,yes,no
2025-08-16 00:00:08,0.34,
2025-08-17 00:00:13,0.345,
2025-08-18 00:00:07,0.415,
2025-08-19 00:00:13,0.475,
2025-08-20 00:00:08,0.48,
2025-08-21 00:00:05,0.48,
2025-08-22 00:00:06,0.475,
2025-08-23 00:00:12,0.525,
2025-08-24 00:00:03,0.535,0.465
2025-08-25 00:00:16,0.555,
2025-08-26 00:00:05,0.58,
2025-08-27 00:00:03,0.585,
2025-08-28 00:00:10,0.61,
2025-08-29 00:00:08,0.595,
2025-08-30 00:00:10,0.62,
2025-08-31 00:00:16,0.615,
2025-09-01 00:00:06,0.67,
2025-09-02 00:00:15,0.64,
2025-09-03 00:00:10,0.645,
2025-09-04 00:00:09,0.625,
2025-09-05 00:00:04,0.63,
2025-09-06 00:00:19,0.63,
2025-09-07 00:00:04,0.615,
2025-09-08 00:00:02,0.615,
2025-09-09 00:00:13,0.615,
2025-09-10 00:00:02,0.45,
2025-09-11 00:00:06,0.58,
2025-09-12 00:00:16,0.59,
2025-09-13 00:00:08,0.585,
2025-09-14 00:00:16,0.585,
2025-09-15 00:00:10,0.585,
2025-09-16 00:00:24,0.76,
2025-09-17 00:00:17,0.69,
2025-09-18 00:00:12,0.52,
2025-09-19 00:00:09,0.735,
2025-09-20 00:00:08,0.83,
2025-09-21 00:00:08,0.835,
2025-09-22 00:00:04,0.83,
2025-09-23 00:00:11,0.83,
2025-09-24 00:00:15,0.83,
2025-09-25 00:00:08,0.83,
2025-09-26 00:00:08,0.58,
2025-09-27 00:00:04,0.52,
2025-09-28 00:00:06,0.705,
2025-09-29 00:00:08,0.705,
2025-09-30 00:00:02,0.695,
2025-10-01 00:00:08,0.695,
2025-10-02 00:00:04,0.73,
2025-10-03 00:00:06,0.73,
2025-10-04 00:00:08,0.73,
2025-10-05 00:00:08,0.735,
2025-10-06 00:00:02,0.72,0.28
2025-10-07 00:00:12,0.725,0.275
2025-10-08 00:00:12,0.725,
2025-10-09 00:00:12,0.695,
2025-10-10 00:00:14,0.71,
2025-10-11 00:00:07,0.275,
2025-10-12 00:00:06,0.545,
2025-10-13 00:00:10,0.63,
2025-10-14 00:00:08,0.675,
2025-10-15 00:00:12,0.675,
2025-10-16 00:00:21,0.705,
2025-10-17 00:00:12,0.705,
2025-10-18 00:00:11,0.725,
2025-10-19 00:00:08,0.735,0.265
2025-10-20 00:00:08,0.695,0.305
2025-10-21 00:00:17,0.68,
2025-10-22 00:00:22,0.675,
2025-10-23 00:00:11,0.665,
2025-10-23 12:01:05,0.665,
