timestamp,yes,no
2025-04-19 00:00:06,0.38,0.62
2025-04-20 00:00:06,0.37,0.63
2025-04-21 00:00:06,0.38,0.62
2025-04-22 00:00:06,0.37,0.63
2025-04-23 00:00:07,0.365,0.635
2025-04-24 00:00:06,0.365,0.635
2025-04-25 00:00:06,0.365,0.635
2025-04-26 00:00:06,0.355,0.645
2025-04-27 00:00:05,0.37,0.63
2025-04-28 00:00:05,0.37,0.63
2025-04-29 00:00:05,0.37,0.63
2025-04-30 00:00:06,0.37,0.63
2025-05-01 00:00:06,0.18,0.82
2025-05-02 00:00:06,0.285,0.715
2025-05-03 00:00:06,0.285,0.715
2025-05-04 00:00:05,0.275,0.725
2025-05-05 00:00:05,0.28,0.72
2025-05-06 00:00:06,0.285,0.715
2025-05-07 00:00:05,0.28,0.72
2025-05-08 00:00:06,0.15,0.85
2025-05-09 00:00:07,0.185,0.815
2025-05-10 00:00:06,0.195,0.805
2025-05-11 00:00:06,0.185,0.815
2025-05-12 00:00:06,0.165,0.835
2025-05-13 00:00:06,0.175,0.825
2025-05-14 00:00:07,0.175,0.825
2025-05-15 00:00:07,0.175,0.825
2025-05-16 00:00:06,0.175,0.825
2025-05-17 00:00:07,0.18,0.82
2025-05-18 00:00:06,0.18,0.82
2025-05-19 00:00:06,0.18,0.82
2025-05-20 00:00:06,0.135,0.865
2025-05-21 00:00:06,0.13,0.87
2025-05-22 00:00:07,0.13,0.87
2025-05-23 00:00:07,0.125,0.875
2025-05-24 00:00:07,0.13,0.87
2025-05-25 00:00:06,0.13,0.87
2025-05-26 00:00:07,0.13,0.87
2025-05-27 00:00:06,0.13,0.87
2025-05-28 00:00:06,0.13,0.87
2025-05-29 00:00:07,0.13,0.87
2025-05-30 00:00:07,0.13,0.87
2025-05-31 00:00:07,0.13,0.87
2025-06-01 00:00:07,0.13,0.87
2025-06-02 00:00:06,0.13,0.87
2025-06-03 00:00:07,0.13,0.87
2025-06-04 00:00:06,0.13,0.87
2025-06-05 00:00:06,0.13,0.87
2025-06-06 00:00:06,0.13,0.87
2025-06-07 00:00:07,0.24,0.76
2025-06-08 00:00:07,0.24,0.76
2025-06-09 00:00:07,0.21,0.79
2025-06-10 00:00:06,0.2,0.8
2025-06-11 00:00:07,0.065,0.935
2025-06-12 00:00:07,0.2225,0.7775
2025-06-13 00:00:07,0.203,0.797
2025-06-14 00:00:08,0.182,0.818
2025-06-15 00:00:08,0.189,0.811
2025-06-16 00:00:07,0.1925,0.8075
2025-06-17 00:00:08,0.206,0.794
2025-06-18 00:00:08,0.2055,0.7945
2025-06-19 00:00:07,0.207,0.793
2025-06-20 00:00:08,0.25,0.75
2025-06-21 00:00:08,0.245,0.755
2025-06-22 00:00:06,0.2465,0.7535
2025-06-23 00:00:07,0.25,0.75
2025-06-24 00:00:07,0.246,0.754
2025-06-25 00:00:07,0.1975,0.8025
2025-06-26 00:00:08,0.23,0.77
2025-06-27 00:00:07,0.1985,0.8015
2025-06-28 00:00:07,0.2025,0.7975
2025-06-29 00:00:08,0.2065,0.7935
2025-06-30 00:00:07,0.209,0.791
2025-07-01 00:00:08,0.24,0.76
2025-07-02 00:00:07,0.2085,0.7915
2025-07-03 00:00:08,0.2285,0.7715
2025-07-04 00:00:08,0.224,0.776
2025-07-05 00:00:08,0.2025,0.7975
2025-07-06 00:00:07,0.2075,0.7925
2025-07-07 00:00:07,0.208,0.792
2025-07-08 00:00:08,0.2125,0.7875
2025-07-09 00:00:07,0.203,0.797
2025-07-10 00:00:08,0.1695,0.8305
2025-07-11 00:00:08,0.17,0.83
2025-07-12 00:00:09,0.1855,0.8145
2025-07-13 00:00:08,0.1855,0.8145
2025-07-14 00:00:07,0.175,0.825
2025-07-15 00:00:08,0.195,0.805
2025-07-16 00:00:08,0.191,0.809
2025-07-17 00:00:08,0.181,0.819
2025-07-18 00:00:08,0.209,0.791
2025-07-19 00:00:09,0.201,0.799
2025-07-20 00:00:08,0.2395,0.7605
2025-07-21 00:00:07,0.239,0.761
2025-07-22 00:00:09,0.229,0.771
2025-07-23 00:00:09,0.2275,0.7725
2025-07-24 00:00:09,0.2235,0.7765
2025-07-25 00:00:09,0.2165,0.7835
2025-07-26 00:00:09,0.2185,0.7815
2025-07-27 00:00:10,0.219,0.781
2025-07-28 00:00:09,0.223,0.777
2025-07-29 00:00:10,0.227,0.773
2025-07-30 00:00:10,0.2325,0.7675
2025-07-31 00:00:08,0.2235,0.7765
2025-08-01 00:00:09,0.2395,0.7605
2025-08-02 00:00:09,0.325,0.675
2025-08-03 00:00:08,0.3175,0.6825
2025-08-04 00:00:07,0.316,0.684
2025-08-05 00:00:08,0.322,0.678
2025-08-06 00:00:09,0.302,0.698
