timestamp,yes,no
2025-06-25 00:00:07,0.02,0.98
2025-06-26 00:00:08,0.0185,0.9815
2025-06-27 00:00:07,0.051,0.949
2025-06-28 00:00:07,0.023,0.977
2025-06-29 00:00:08,0.026,0.974
2025-06-30 00:00:07,0.0235,0.9765
2025-07-01 00:00:08,0.025,0.975
2025-07-02 00:00:07,0.012,0.988
2025-07-03 00:00:08,0.0125,0.9875
2025-07-04 00:00:08,0.012,0.988
2025-07-05 00:00:08,0.0105,0.9895
2025-07-06 00:00:07,0.0105,0.9895
2025-07-07 00:00:07,0.0095,0.9905
2025-07-08 00:00:08,0.011,0.989
2025-07-09 00:00:07,0.0115,0.9885
2025-07-10 00:00:08,0.009,0.991
2025-07-11 00:00:08,0.008,0.992
2025-07-12 00:00:09,0.0065,0.9935
2025-07-13 00:00:08,0.01,0.99
2025-07-14 00:00:07,0.007,0.993
2025-07-15 00:00:08,0.007,0.993
2025-07-16 00:00:08,0.0065,0.9935
2025-07-17 00:00:08,0.004,0.996
2025-07-18 00:00:08,0.004,0.996
2025-07-19 00:00:09,0.0095,0.9905
2025-07-20 00:00:08,0.011,0.989
2025-07-21 00:00:07,0.0145,0.9855
2025-07-22 00:00:09,0.0065,0.9935
2025-07-23 00:00:09,0.0065,0.9935
2025-07-24 00:00:09,0.007,0.993
2025-07-25 00:00:09,0.007,0.993
2025-07-26 00:00:09,0.007,0.993
2025-07-27 00:00:10,0.007,0.993
2025-07-28 00:00:09,0.003,0.997
2025-07-29 00:00:10,0.0035,0.9965
2025-07-30 00:00:10,0.0035,0.9965
2025-07-31 00:00:08,0.004,0.996
2025-08-01 00:00:09,0.0115,0.9885
2025-08-02 00:00:09,0.0215,0.9785
2025-08-03 00:00:08,0.0215,0.9785
2025-08-04 00:00:07,0.0215,0.9785
2025-08-05 00:00:08,0.015,0.985
2025-08-06 00:00:09,0.012,0.988
2025-08-07 00:00:08,0.0005,
2025-08-08 00:00:05,0.002,0.998
2025-08-09 00:00:11,0.0015,
2025-08-10 00:00:05,0.002,
2025-08-11 00:00:10,0.0065,
2025-08-12 00:00:08,0.0615,
2025-08-13 00:00:12,0.0275,
2025-08-14 00:00:04,0.0345,
2025-08-15 00:00:06,0.022,
2025-08-16 00:00:02,0.0205,
2025-08-17 00:00:12,0.044,
2025-08-18 00:00:04,0.033,
2025-08-19 00:00:06,0.023,
2025-08-20 00:00:03,0.028,
2025-08-21 00:00:06,0.0285,
2025-08-22 00:00:03,0.0105,
2025-08-23 00:00:12,0.0105,
2025-08-24 00:00:09,0.0385,
2025-08-25 00:00:09,0.0125,
2025-08-26 00:00:09,0.0105,
2025-08-27 00:00:09,0.0095,
2025-08-28 00:00:02,0.0125,
2025-08-29 00:00:04,0.013,
2025-08-30 00:00:12,0.015,
2025-08-31 00:00:07,0.0105,
2025-09-01 00:00:12,0.0105,
2025-09-02 00:00:07,0.0105,
2025-09-03 00:00:13,0.022,
2025-09-04 00:00:09,0.019,
2025-09-05 00:00:11,0.017,
2025-09-06 00:00:13,0.011,
2025-09-07 00:00:09,0.0065,
2025-09-08 00:00:09,0.003,
2025-09-09 00:00:16,0.0035,
2025-09-10 00:00:14,0.0035,
2025-09-11 00:00:11,0.0035,
2025-09-12 00:00:14,0.0065,
2025-09-13 00:00:10,0.006,
2025-09-14 00:00:10,0.006,
2025-09-15 00:00:08,0.007,
2025-09-16 00:00:14,0.0085,
2025-09-17 00:00:06,0.008,
2025-09-18 00:00:05,0.006,
2025-09-19 00:00:15,0.006,
2025-09-20 00:00:18,0.0065,
2025-09-21 00:00:04,0.007,
2025-09-22 00:00:04,0.0075,
2025-09-23 00:00:10,0.0075,
2025-09-24 00:00:12,0.009,
2025-09-25 00:00:08,0.012,0.988
2025-09-26 00:00:14,0.012,
2025-09-27 00:00:07,0.012,
2025-09-28 00:00:07,0.0125,
2025-09-29 00:00:03,0.0125,
2025-09-30 00:00:05,0.012,
2025-10-01 00:00:09,0.0125,
2025-10-02 00:00:06,0.012,
2025-10-03 00:00:11,0.0125,
2025-10-04 00:00:03,0.0125,
2025-10-05 00:00:07,0.0125,
2025-10-06 00:00:05,0.025,
2025-10-07 00:00:05,0.025,
2025-10-08 00:00:10,0.025,
2025-10-09 00:00:13,0.0255,
2025-10-10 00:00:18,0.0175,
2025-10-11 00:00:10,0.0725,
2025-10-12 00:00:11,0.07,
2025-10-13 00:00:04,0.068,
2025-10-14 00:00:16,0.069,
2025-10-15 00:00:16,0.049,
2025-10-16 00:00:14,0.013,
2025-10-17 00:00:06,0.0045,0.9955
2025-10-18 00:00:12,0.011,
2025-10-19 00:00:08,0.0115,0.9885
2025-10-20 00:00:06,0.0115,
2025-10-21 00:00:17,0.006,
2025-10-22 00:00:11,0.006,
2025-10-23 00:00:07,0.0105,
2025-10-23 12:01:04,0.012,
