timestamp,yes,no
2025-08-07 00:00:03,0.27,
2025-08-08 00:00:03,0.23,
2025-08-09 00:00:02,0.255,
2025-08-10 00:00:07,0.28,
2025-08-11 00:00:14,0.25,
2025-08-12 00:00:03,0.235,
2025-08-13 00:00:09,0.23,
2025-08-14 00:00:05,0.215,
2025-08-15 00:00:06,0.145,0.855
2025-08-16 00:00:05,0.195,
2025-08-17 00:00:08,0.205,0.795
2025-08-18 00:00:07,0.18,
2025-08-19 00:00:10,0.13,
2025-08-20 00:00:05,0.125,
2025-08-21 00:00:07,0.105,
2025-08-22 00:00:05,0.075,0.925
2025-08-23 00:00:07,0.0335,
2025-08-24 00:00:10,0.031,
2025-08-25 00:00:04,0.021,
2025-08-26 00:00:04,0.008,
2025-08-27 00:00:10,0.014,
2025-08-28 00:00:10,0.034,
2025-08-29 00:00:04,0.0175,
2025-08-30 00:00:06,0.0075,
2025-08-31 00:00:06,0.005,0.995
2025-09-01 00:00:05,0.003,
