timestamp,yes,no
2024-05-24 00:00:03,0.035,0.965
2024-05-25 00:00:03,0.0455,0.9545
2024-05-26 00:00:03,0.0455,0.9545
2024-05-27 00:00:03,0.0445,0.9555
2024-05-28 00:00:03,0.045,0.955
2024-05-29 00:00:04,0.0445,0.9555
2024-05-30 00:00:03,0.045,0.955
2024-05-31 00:00:03,0.0435,0.9565
2024-06-01 00:00:03,0.0435,0.9565
2024-06-02 00:00:03,0.043,0.957
2024-06-03 00:00:03,0.043,0.957
2024-06-04 00:00:02,0.043,0.957
2024-06-05 00:00:02,0.0435,0.9565
2024-06-06 00:00:03,0.0435,0.9565
2024-06-07 00:00:02,0.0435,0.9565
2024-06-08 00:00:02,0.043,0.957
2024-06-09 00:00:03,0.0425,0.9575
2024-06-10 00:00:04,0.0425,0.9575
2024-06-11 00:00:02,0.0425,0.9575
2024-06-12 00:00:03,0.0585,0.9415
2024-06-13 00:00:03,0.059,0.941
2024-06-14 00:00:03,0.0595,0.9405
2024-06-15 00:00:04,0.271,0.729
2024-06-16 00:00:04,0.271,0.729
2024-06-17 00:00:04,0.084,0.916
2024-06-18 00:00:03,0.0845,0.9155
2024-06-19 00:00:03,0.0845,0.9155
2024-06-20 00:00:04,0.0845,0.9155
2024-06-21 00:00:03,0.0775,0.9225
2024-06-22 00:00:02,0.0775,0.9225
2024-06-23 00:00:03,0.0775,0.9225
2024-06-24 00:00:03,0.0775,0.9225
2024-06-25 00:00:03,0.0775,0.9225
2024-06-26 00:00:03,0.0775,0.9225
2024-06-27 00:00:02,0.0775,0.9225
2024-06-28 00:00:03,0.0775,0.9225
2024-06-29 00:00:02,0.0725,0.9275
2024-06-30 00:00:02,0.0725,0.9275
2024-07-01 00:00:02,0.07,0.93
2024-07-02 00:00:03,0.07,0.93
2024-07-03 00:00:02,0.07,0.93
2024-07-04 00:00:03,0.045,0.955
2024-07-05 00:00:02,0.4515,0.5485
2024-07-06 00:00:02,0.974,0.026
