timestamp,yes,no
2024-05-24 00:00:03,0.045,0.955
2024-05-25 00:00:03,0.045,0.955
2024-05-26 00:00:03,0.045,0.955
2024-05-27 00:00:03,0.044,0.956
2024-05-28 00:00:03,0.0445,0.9555
2024-05-29 00:00:04,0.044,0.956
2024-05-30 00:00:03,0.0425,0.9575
2024-05-31 00:00:03,0.04,0.96
2024-06-01 00:00:03,0.04,0.96
2024-06-02 00:00:03,0.051,0.949
2024-06-03 00:00:03,0.048,0.952
2024-06-04 00:00:02,0.048,0.952
2024-06-05 00:00:02,0.048,0.952
2024-06-06 00:00:03,0.0475,0.9525
2024-06-07 00:00:02,0.0475,0.9525
2024-06-08 00:00:02,0.05,0.95
2024-06-09 00:00:03,0.048,0.952
2024-06-10 00:00:04,0.048,0.952
2024-06-11 00:00:02,0.048,0.952
2024-06-12 00:00:03,0.043,0.957
2024-06-13 00:00:03,0.043,0.957
2024-06-14 00:00:03,0.043,0.957
2024-06-15 00:00:04,0.043,0.957
2024-06-16 00:00:04,0.043,0.957
2024-06-17 00:00:04,0.043,0.957
2024-06-18 00:00:03,0.04,0.96
2024-06-19 00:00:03,0.04,0.96
2024-06-20 00:00:04,0.04,0.96
2024-06-21 00:00:03,0.04,0.96
2024-06-22 00:00:02,0.035,0.965
2024-06-23 00:00:03,0.035,0.965
2024-06-24 00:00:03,0.035,0.965
2024-06-25 00:00:03,0.035,0.965
2024-06-26 00:00:03,0.0345,0.9655
2024-06-27 00:00:02,0.0345,0.9655
2024-06-28 00:00:03,0.0345,0.9655
2024-06-29 00:00:02,0.04,0.96
2024-06-30 00:00:02,0.04,0.96
2024-07-01 00:00:02,0.04,0.96
2024-07-02 00:00:03,0.033,0.967
2024-07-03 00:00:02,0.035,0.965
2024-07-04 00:00:03,0.0245,0.9755
2024-07-05 00:00:02,0.024,0.976
