timestamp,yes,no
2025-07-03 00:00:08,0.695,0.305
2025-07-04 00:00:08,0.21,0.79
2025-07-05 00:00:08,0.205,0.795
2025-07-06 00:00:07,0.205,0.795
2025-07-07 00:00:07,0.23,0.77
2025-07-08 00:00:08,0.35,0.65
2025-07-09 00:00:07,0.29,0.71
2025-07-10 00:00:08,0.24,0.76
2025-07-11 00:00:08,0.235,0.765
2025-07-12 00:00:09,0.26,0.74
2025-07-13 00:00:08,0.145,0.855
2025-07-14 00:00:07,0.095,0.905
2025-07-15 00:00:08,0.085,0.915
2025-07-16 00:00:08,0.07,0.93
2025-07-17 00:00:08,0.06,0.94
2025-07-18 00:00:08,0.065,0.935
2025-07-19 00:00:09,0.1,0.9
2025-07-20 00:00:08,0.09,0.91
2025-07-21 00:00:07,0.055,0.945
2025-07-22 00:00:09,0.0215,0.9785
2025-07-23 00:00:09,0.03,0.97
2025-07-24 00:00:09,0.015,0.985
2025-07-25 00:00:09,0.039,0.961
2025-07-26 00:00:09,0.016,0.984
2025-07-27 00:00:10,0.011,0.989
2025-07-28 00:00:09,0.015,0.985
2025-07-29 00:00:10,0.013,0.987
2025-07-30 00:00:10,0.0105,0.9895
2025-07-31 00:00:08,0.006,0.994
2025-08-01 00:00:09,0.002,0.998
