timestamp,yes,no
2025-07-16 00:00:08,0.095,0.905
2025-07-17 00:00:08,0.135,0.865
2025-07-18 00:00:08,0.18,0.82
2025-07-19 00:00:09,0.16,0.84
2025-07-20 00:00:08,0.11,0.89
2025-07-21 00:00:07,0.18,0.82
2025-07-22 00:00:09,0.13,0.87
2025-07-23 00:00:09,0.135,0.865
2025-07-24 00:00:09,0.13,0.87
2025-07-25 00:00:09,0.12,0.88
2025-07-26 00:00:09,0.095,0.905
2025-07-27 00:00:10,0.085,0.915
2025-07-28 00:00:09,0.075,0.925
2025-07-29 00:00:10,0.065,0.935
2025-07-30 00:00:10,0.055,0.945
2025-07-31 00:00:08,0.024,0.976
2025-08-01 00:00:09,0.022,0.978
2025-08-02 00:00:09,0.0035,0.9965
2025-08-03 00:00:08,0.0035,0.9965
2025-08-04 00:00:07,0.0005,0.9995
