timestamp,yes,no
2025-07-26 00:00:09,0.375,0.625
2025-07-27 00:00:10,0.175,0.825
2025-07-28 00:00:09,0.195,0.805
2025-07-29 00:00:10,0.18,0.82
2025-07-30 00:00:10,0.11,0.89
2025-07-31 00:00:08,0.085,0.915
2025-08-01 00:00:09,0.055,0.945
2025-08-02 00:00:09,0.017,0.983
2025-08-03 00:00:08,0.1005,0.8995
2025-08-04 00:00:07,0.046,0.954
2025-08-05 00:00:08,0.06,0.94
2025-08-06 00:00:09,0.06,0.94
2025-08-07 00:00:04,0.0625,
2025-08-08 00:00:03,0.0625,
2025-08-09 00:00:10,0.06,
2025-08-10 00:00:05,0.0625,
2025-08-11 00:00:10,0.0645,
2025-08-12 00:00:02,0.0715,
2025-08-13 00:00:05,0.071,0.929
2025-08-14 00:00:07,0.0735,
2025-08-15 00:00:13,0.0755,
2025-08-16 00:00:02,0.0765,
2025-08-17 00:00:12,0.078,
2025-08-18 00:00:05,0.078,
2025-08-19 00:00:05,0.0785,
2025-08-20 00:00:07,0.078,
2025-08-21 00:00:06,0.0765,0.9235
2025-08-22 00:00:07,0.077,0.923
2025-08-23 00:00:14,0.0755,0.9245
2025-08-24 00:00:10,0.0685,
2025-08-25 00:00:04,0.0685,
2025-08-26 00:00:03,0.0725,
2025-08-27 00:00:06,0.0745,
2025-08-28 00:00:05,0.0745,0.9255
2025-08-29 00:00:06,0.072,
2025-08-30 00:00:06,0.072,
2025-08-31 00:00:04,0.0715,
2025-09-01 00:00:11,0.072,
2025-09-02 00:00:18,0.0725,
2025-09-03 00:00:14,0.0715,
2025-09-04 00:00:06,0.0715,
2025-09-05 00:00:06,0.0715,0.9285
2025-09-06 00:00:17,0.0715,
2025-09-07 00:00:06,0.0715,
2025-09-08 00:00:08,0.0715,
2025-09-09 00:00:12,0.0715,
2025-09-10 00:00:15,0.075,
2025-09-11 00:00:06,0.075,0.925
2025-09-12 00:00:23,0.0765,
2025-09-13 00:00:06,0.078,
2025-09-14 00:00:03,0.0785,
2025-09-15 00:00:08,0.0785,
2025-09-16 00:00:13,0.0785,
2025-09-17 00:00:06,0.2475,
2025-09-18 00:00:02,0.2415,
2025-09-19 00:00:14,0.115,
2025-09-20 00:00:09,0.1165,
2025-09-21 00:00:06,0.094,
2025-09-22 00:00:17,0.097,
2025-09-23 00:00:05,0.0985,
2025-09-24 00:00:04,0.096,
2025-09-25 00:00:09,0.098,
2025-09-26 00:00:12,0.089,
2025-09-27 00:00:05,0.0885,0.9115
2025-09-28 00:00:08,0.094,
2025-09-29 00:00:03,0.0945,
2025-09-30 00:00:04,0.094,
2025-10-01 00:00:08,0.093,
2025-10-02 00:00:08,0.0865,0.9135
2025-10-03 00:00:08,0.081,0.919
2025-10-04 00:00:07,0.0815,
2025-10-05 00:00:07,0.081,
2025-10-06 00:00:06,0.0815,0.9185
2025-10-07 00:00:11,0.08,
2025-10-08 00:00:12,0.08,
2025-10-09 00:00:06,0.08,
2025-10-10 00:00:10,0.0805,
2025-10-11 00:00:06,0.082,
2025-10-12 00:00:04,0.0925,
2025-10-13 00:00:15,0.095,
2025-10-14 00:00:19,0.167,0.833
2025-10-15 00:00:09,0.1565,0.8435
2025-10-16 00:00:16,0.1315,
2025-10-17 00:00:05,0.13,
2025-10-18 00:00:19,0.135,
2025-10-19 00:00:17,0.1275,
2025-10-20 00:00:19,0.1305,
2025-10-21 00:00:10,0.1175,
2025-10-22 00:00:23,0.1205,
2025-10-23 00:00:11,0.1745,
2025-10-24 00:00:19,0.13,
2025-10-25 00:00:17,0.149,
2025-10-26 00:00:20,0.149,
2025-10-26 16:36:06,0.1625,
