timestamp,yes,no
2023-10-10 00:00:02,0.5,0.5
2023-10-11 00:00:02,0.92,0.08
2023-10-12 00:00:02,0.955,0.045
2023-10-13 00:00:02,0.954,0.046
2023-10-14 00:00:02,0.9555,0.0445
2023-10-15 00:00:02,0.9555,0.0445
2023-10-16 00:00:02,0.955,0.045
2023-10-17 00:00:02,0.955,0.045
2023-10-18 00:00:02,0.955,0.045
2023-10-19 00:00:02,0.955,0.045
2023-10-20 00:00:02,0.9345,0.0655
2023-10-21 00:00:02,0.935,0.065
2023-10-22 00:00:02,0.9345,0.0655
2023-10-23 00:00:02,0.9345,0.0655
2023-10-24 00:00:02,0.9345,0.0655
2023-10-25 00:00:02,0.935,0.065
2023-10-26 00:00:02,0.9445,0.0555
2023-10-27 00:00:02,0.9345,0.0655
2023-10-28 00:00:02,0.9345,0.0655
2023-10-29 00:00:03,0.9345,0.0655
2023-10-30 00:00:03,0.942,0.058
2023-10-31 00:00:02,0.942,0.058
2023-11-01 00:00:02,0.9415,0.0585
2023-11-02 00:00:02,0.945,0.055
2023-11-03 00:00:02,0.95,0.05
2023-11-04 00:00:02,0.9555,0.0445
2023-11-05 00:00:02,0.9555,0.0445
2023-11-06 00:00:06,0.9555,0.0445
2023-11-07 00:00:02,0.9575,0.0425
2023-11-08 00:00:02,0.9575,0.0425
2023-11-09 00:00:03,0.958,0.042
2023-11-10 00:00:02,0.9585,0.0415
2023-11-11 00:00:02,0.9585,0.0415
2023-11-12 00:00:02,0.9585,0.0415
2023-11-13 00:00:02,0.96,0.04
2023-11-14 00:00:02,0.9605,0.0395
2023-11-15 00:00:02,0.9605,0.0395
2023-11-16 00:00:02,0.9605,0.0395
2023-11-17 00:00:03,0.9705,0.0295
2023-11-18 00:00:02,0.9705,0.0295
2023-11-19 00:00:03,0.9705,0.0295
2023-11-20 00:00:02,0.9705,0.0295
2023-11-21 00:00:02,0.968,0.032
2023-11-22 00:00:02,0.9605,0.0395
2023-11-23 00:00:02,0.9605,0.0395
2023-11-24 00:00:02,0.9605,0.0395
2023-11-25 00:00:02,0.9605,0.0395
2023-11-26 00:00:02,0.9605,0.0395
2023-11-27 00:00:02,0.9605,0.0395
2023-11-28 00:00:02,0.9605,0.0395
2023-11-29 00:00:02,0.9605,0.0395
2023-11-30 00:00:02,0.968,0.032
2023-12-01 00:00:02,0.968,0.032
2023-12-02 00:00:03,0.968,0.032
2023-12-03 00:00:02,0.968,0.032
2023-12-04 00:00:02,0.968,0.032
2023-12-05 00:00:02,0.975,0.025
2023-12-06 00:00:03,0.9745,0.0255
2023-12-07 00:00:02,0.9745,0.0255
2023-12-08 00:00:02,0.9745,0.0255
2023-12-09 00:00:02,0.9745,0.0255
2023-12-10 00:00:02,0.9675,0.0325
2023-12-11 00:00:02,0.9295,0.0705
2023-12-12 00:00:02,0.9695,0.0305
2023-12-13 00:00:02,0.97,0.03
2023-12-14 00:00:02,0.97,0.03
2023-12-15 00:00:02,0.97,0.03
2023-12-16 00:00:02,0.97,0.03
2023-12-17 00:00:02,0.97,0.03
2023-12-18 00:00:02,0.97,0.03
2023-12-19 00:00:02,0.97,0.03
2023-12-20 00:00:02,0.97,0.03
2023-12-21 00:00:03,0.975,0.025
2023-12-22 00:00:02,0.975,0.025
2023-12-23 00:00:02,0.9735,0.0265
2023-12-24 00:00:02,0.9735,0.0265
2023-12-25 00:00:02,0.974,0.026
2023-12-26 00:00:02,0.9755,0.0245
2023-12-27 00:00:03,0.9755,0.0245
2023-12-28 00:00:03,0.9755,0.0245
2023-12-29 00:00:02,0.9755,0.0245
2023-12-30 00:00:02,0.9755,0.0245
2023-12-31 00:00:02,0.9755,0.0245
2024-01-01 00:00:02,0.9755,0.0245
