timestamp,yes,no
2025-04-12 00:00:06,0.045,0.955
2025-04-13 00:00:05,0.035,0.965
2025-04-14 00:00:05,0.023,0.977
2025-04-15 00:00:05,0.0435,0.9565
2025-04-16 00:00:05,0.0295,0.9705
2025-04-17 00:00:06,0.036,0.964
2025-04-18 00:00:04,0.0235,0.9765
2025-04-19 00:00:06,0.026,0.974
2025-04-20 00:00:06,0.0285,0.9715
2025-04-21 00:00:06,0.0275,0.9725
2025-04-22 00:00:06,0.0295,0.9705
2025-04-23 00:00:07,0.0345,0.9655
2025-04-24 00:00:06,0.0365,0.9635
2025-04-25 00:00:06,0.0455,0.9545
2025-04-26 00:00:06,0.048,0.952
2025-04-27 00:00:05,0.0535,0.9465
2025-04-28 00:00:05,0.063,0.937
2025-04-29 00:00:05,0.0915,0.9085
2025-04-30 00:00:06,0.098,0.902
2025-05-01 00:00:06,0.0885,0.9115
2025-05-02 00:00:06,0.1335,0.8665
2025-05-03 00:00:06,0.1225,0.8775
2025-05-04 00:00:05,0.133,0.867
2025-05-05 00:00:05,0.0995,0.9005
2025-05-06 00:00:06,0.1035,0.8965
2025-05-07 00:00:05,0.1,0.9
2025-05-08 00:00:06,0.0415,0.9585
2025-05-09 00:00:07,0.0355,0.9645
2025-05-10 00:00:06,0.0865,0.9135
2025-05-11 00:00:06,0.0005,0.9995
2025-05-12 00:00:06,0.0005,0.9995
2025-05-13 00:00:06,0.0005,0.9995
2025-05-14 00:00:07,0.0005,0.9995
2025-05-15 00:00:07,0.0005,0.9995
2025-05-16 00:00:06,0.0005,0.9995
2025-05-17 00:00:07,0.0005,0.9995
2025-05-18 00:00:06,0.0005,0.9995
2025-05-19 00:00:06,0.0005,0.9995
2025-05-20 00:00:06,0.0005,0.9995
2025-05-21 00:00:06,0.0005,0.9995
2025-05-22 00:00:07,0.0005,0.9995
2025-05-23 00:00:07,0.0005,0.9995
2025-05-24 00:00:07,0.0005,0.9995
2025-05-25 00:00:06,0.0005,0.9995
2025-05-26 00:00:07,0.0005,0.9995
2025-05-27 00:00:06,0.0005,0.9995
2025-05-28 00:00:06,0.0005,0.9995
2025-05-29 00:00:07,0.0005,0.9995
2025-05-30 00:00:07,0.0005,0.9995
2025-05-31 00:00:07,0.0005,0.9995
2025-06-01 00:00:07,0.0005,0.9995
2025-06-02 00:00:06,0.0005,0.9995
2025-06-03 00:00:07,0.0005,0.9995
