timestamp,yes,no
2025-04-05 00:00:05,0.45,0.55
2025-04-06 00:00:05,0.0395,0.9605
2025-04-07 00:00:06,0.0415,0.9585
2025-04-08 00:00:06,0.056,0.944
2025-04-09 00:00:06,0.061,0.939
2025-04-10 00:00:05,0.062,0.938
2025-04-11 00:00:05,0.0545,0.9455
2025-04-12 00:00:06,0.0595,0.9405
2025-04-13 00:00:05,0.0615,0.9385
2025-04-14 00:00:05,0.0485,0.9515
2025-04-15 00:00:05,0.0485,0.9515
2025-04-16 00:00:05,0.066,0.934
2025-04-17 00:00:06,0.0455,0.9545
2025-04-18 00:00:04,0.0335,0.9665
2025-04-19 00:00:06,0.0355,0.9645
2025-04-20 00:00:06,0.0335,0.9665
2025-04-21 00:00:06,0.034,0.966
2025-04-22 00:00:06,0.0305,0.9695
2025-04-23 00:00:07,0.0305,0.9695
2025-04-24 00:00:06,0.033,0.967
2025-04-25 00:00:06,0.0385,0.9615
2025-04-26 00:00:06,0.038,0.962
2025-04-27 00:00:05,0.0305,0.9695
2025-04-28 00:00:05,0.0295,0.9705
2025-04-29 00:00:05,0.024,0.976
2025-04-30 00:00:06,0.031,0.969
2025-05-01 00:00:06,0.0325,0.9675
2025-05-02 00:00:06,0.022,0.978
2025-05-03 00:00:06,0.035,0.965
2025-05-04 00:00:05,0.0595,0.9405
2025-05-05 00:00:05,0.065,0.935
2025-05-06 00:00:06,0.0355,0.9645
2025-05-07 00:00:05,0.0325,0.9675
2025-05-08 00:00:06,0.043,0.957
2025-05-09 00:00:07,0.034,0.966
2025-05-10 00:00:06,0.0045,0.9955
2025-05-11 00:00:06,0.0785,0.9215
2025-05-12 00:00:06,0.059,0.941
2025-05-13 00:00:06,0.0655,0.9345
2025-05-14 00:00:07,0.067,0.933
2025-05-15 00:00:07,0.0725,0.9275
2025-05-16 00:00:06,0.0685,0.9315
2025-05-17 00:00:07,0.068,0.932
2025-05-18 00:00:06,0.0635,0.9365
2025-05-19 00:00:06,0.0625,0.9375
2025-05-20 00:00:06,0.047,0.953
2025-05-21 00:00:06,0.058,0.942
2025-05-22 00:00:07,0.0655,0.9345
2025-05-23 00:00:07,0.059,0.941
2025-05-24 00:00:07,0.0635,0.9365
2025-05-25 00:00:06,0.078,0.922
2025-05-26 00:00:07,0.0765,0.9235
2025-05-27 00:00:06,0.0895,0.9105
2025-05-28 00:00:06,0.076,0.924
2025-05-29 00:00:07,0.0625,0.9375
2025-05-30 00:00:07,0.031,0.969
2025-05-31 00:00:07,0.041,0.959
2025-06-01 00:00:07,0.0455,0.9545
2025-06-02 00:00:06,0.052,0.948
2025-06-03 00:00:07,0.0365,0.9635
