timestamp,yes,no
2025-05-06 00:00:06,0.385,0.615
2025-05-07 00:00:05,0.315,0.685
2025-05-08 00:00:06,0.72,0.28
2025-05-09 00:00:07,0.705,0.295
2025-05-10 00:00:06,0.055,0.945
2025-05-11 00:00:06,0.8075,0.1925
2025-05-12 00:00:06,0.847,0.153
2025-05-13 00:00:06,0.8545,0.1455
2025-05-14 00:00:07,0.882,0.118
2025-05-15 00:00:07,0.88,0.12
2025-05-16 00:00:06,0.8885,0.1115
2025-05-17 00:00:07,0.901,0.099
2025-05-18 00:00:06,0.8955,0.1045
2025-05-19 00:00:06,0.902,0.098
2025-05-20 00:00:06,0.926,0.074
2025-05-21 00:00:06,0.928,0.072
2025-05-22 00:00:07,0.919,0.081
2025-05-23 00:00:07,0.9095,0.0905
2025-05-24 00:00:07,0.911,0.089
2025-05-25 00:00:06,0.9095,0.0905
2025-05-26 00:00:07,0.9045,0.0955
2025-05-27 00:00:06,0.9095,0.0905
2025-05-28 00:00:06,0.9205,0.0795
2025-05-29 00:00:07,0.926,0.074
2025-05-30 00:00:07,0.9625,0.0375
2025-05-31 00:00:07,0.953,0.047
2025-06-01 00:00:07,0.949,0.051
2025-06-02 00:00:06,0.95,0.05
2025-06-03 00:00:07,0.958,0.042
2025-06-04 00:00:06,0.9995,0.0005
