timestamp,yes,no
2025-05-06 00:00:06,0.07,0.93
2025-05-07 00:00:05,0.0515,0.9485
2025-05-08 00:00:06,0.0375,0.9625
2025-05-09 00:00:07,0.029,0.971
2025-05-10 00:00:06,0.052,0.948
2025-05-11 00:00:06,0.041,0.959
2025-05-12 00:00:06,0.046,0.954
2025-05-13 00:00:06,0.0555,0.9445
2025-05-14 00:00:07,0.0395,0.9605
2025-05-15 00:00:07,0.0535,0.9465
2025-05-16 00:00:06,0.038,0.962
2025-05-17 00:00:07,0.045,0.955
2025-05-18 00:00:06,0.0385,0.9615
2025-05-19 00:00:06,0.034,0.966
2025-05-20 00:00:06,0.03,0.97
2025-05-21 00:00:06,0.041,0.959
2025-05-22 00:00:07,0.043,0.957
2025-05-23 00:00:07,0.048,0.952
2025-05-24 00:00:07,0.048,0.952
2025-05-25 00:00:06,0.063,0.937
2025-05-26 00:00:07,0.065,0.935
2025-05-27 00:00:06,0.069,0.931
2025-05-28 00:00:06,0.062,0.938
2025-05-29 00:00:07,0.062,0.938
2025-05-30 00:00:07,0.0295,0.9705
2025-05-31 00:00:07,0.0395,0.9605
2025-06-01 00:00:07,0.045,0.955
2025-06-02 00:00:06,0.0435,0.9565
2025-06-03 00:00:07,0.037,0.963
2025-06-04 00:00:06,0.0005,0.9995
