timestamp,yes,no
2025-05-22 00:00:07,0.23,0.77
2025-05-23 00:00:07,0.225,0.775
2025-05-24 00:00:07,0.185,0.815
2025-05-25 00:00:06,0.115,0.885
2025-05-26 00:00:07,0.11,0.89
2025-05-27 00:00:06,0.1,0.9
2025-05-28 00:00:06,0.095,0.905
2025-05-29 00:00:07,0.1,0.9
2025-05-30 00:00:07,0.075,0.925
2025-05-31 00:00:07,0.08,0.92
2025-06-01 00:00:07,0.325,0.675
2025-06-02 00:00:06,0.41,0.59
2025-06-03 00:00:07,0.445,0.555
2025-06-04 00:00:06,0.38,0.62
2025-06-05 00:00:06,0.375,0.625
2025-06-06 00:00:06,0.34,0.66
2025-06-07 00:00:07,0.09,0.91
2025-06-08 00:00:07,0.0165,0.9835
2025-06-09 00:00:07,0.016,0.984
2025-06-10 00:00:06,0.0215,0.9785
2025-06-11 00:00:07,0.026,0.974
2025-06-12 00:00:07,0.027,0.973
2025-06-13 00:00:07,0.028,0.972
2025-06-14 00:00:08,0.028,0.972
2025-06-15 00:00:08,0.029,0.971
2025-06-16 00:00:07,0.029,0.971
2025-06-17 00:00:08,0.029,0.971
2025-06-18 00:00:08,0.03,0.97
2025-06-19 00:00:07,0.0305,0.9695
2025-06-20 00:00:08,0.0305,0.9695
2025-06-21 00:00:08,0.0305,0.9695
2025-06-22 00:00:06,0.0325,0.9675
2025-06-23 00:00:07,0.03,0.97
2025-06-24 00:00:07,0.031,0.969
2025-06-25 00:00:07,0.031,0.969
2025-06-26 00:00:08,0.031,0.969
2025-06-27 00:00:07,0.032,0.968
2025-06-28 00:00:07,0.0325,0.9675
2025-06-29 00:00:08,0.0375,0.9625
2025-06-30 00:00:07,0.038,0.962
2025-07-01 00:00:08,0.038,0.962
2025-07-02 00:00:07,0.0385,0.9615
2025-07-03 00:00:08,0.038,0.962
2025-07-04 00:00:08,0.0385,0.9615
2025-07-05 00:00:08,0.038,0.962
2025-07-06 00:00:07,0.0395,0.9605
2025-07-07 00:00:07,0.039,0.961
2025-07-08 00:00:08,0.0395,0.9605
2025-07-09 00:00:07,0.0395,0.9605
2025-07-10 00:00:08,0.04,0.96
2025-07-11 00:00:08,0.0395,0.9605
2025-07-12 00:00:09,0.04,0.96
2025-07-13 00:00:08,0.04,0.96
2025-07-14 00:00:07,0.0405,0.9595
2025-07-15 00:00:08,0.0405,0.9595
2025-07-16 00:00:08,0.0405,0.9595
2025-07-17 00:00:08,0.0405,0.9595
2025-07-18 00:00:08,0.041,0.959
2025-07-19 00:00:09,0.221,0.779
2025-07-20 00:00:08,0.07,0.93
2025-07-21 00:00:07,0.071,0.929
2025-07-22 00:00:09,0.0475,0.9525
2025-07-23 00:00:09,0.0455,0.9545
2025-07-24 00:00:09,0.0345,0.9655
2025-07-25 00:00:09,0.0345,0.9655
2025-07-26 00:00:09,0.031,0.969
2025-07-27 00:00:10,0.034,0.966
2025-07-28 00:00:09,0.0355,0.9645
2025-07-29 00:00:10,0.0345,0.9655
2025-07-30 00:00:10,0.0325,0.9675
2025-07-31 00:00:08,0.034,0.966
2025-08-01 00:00:09,0.03,0.97
2025-08-02 00:00:09,0.0415,0.9585
2025-08-03 00:00:08,0.041,0.959
2025-08-04 00:00:07,0.0415,0.9585
2025-08-05 00:00:08,0.042,0.958
2025-08-06 00:00:09,0.043,0.957
2025-08-07 00:00:08,0.043,
2025-08-08 00:00:06,0.043,
2025-08-09 00:00:09,0.049,0.951
2025-08-10 00:00:02,0.0465,
2025-08-11 00:00:02,0.0555,
2025-08-12 00:00:07,0.0515,
2025-08-13 00:00:09,0.051,
2025-08-14 00:00:02,0.05,
2025-08-15 00:00:11,0.0485,
2025-08-16 00:00:07,0.048,
2025-08-17 00:00:13,0.048,
2025-08-18 00:00:09,0.048,0.952
2025-08-19 00:00:11,0.0475,
2025-08-20 00:00:03,0.0785,0.9215
2025-08-21 00:00:05,0.0755,
2025-08-22 00:00:05,0.0855,
2025-08-23 00:00:16,0.083,
2025-08-24 00:00:06,0.087,
2025-08-25 00:00:08,0.082,
2025-08-26 00:00:07,0.0845,
2025-08-27 00:00:14,0.0845,
2025-08-28 00:00:05,0.084,
2025-08-29 00:00:02,0.0845,
2025-08-30 00:00:09,0.0755,
2025-08-31 00:00:18,0.073,
2025-09-01 00:00:02,0.073,
2025-09-02 00:00:05,0.073,
2025-09-03 00:00:07,0.074,
2025-09-04 00:00:05,0.0735,
2025-09-05 00:00:06,0.073,
2025-09-06 00:00:14,0.071,
2025-09-07 00:00:12,0.071,0.929
2025-09-08 00:00:13,0.071,
2025-09-09 00:00:13,0.071,
2025-09-10 00:00:13,0.067,
2025-09-11 00:00:10,0.063,
2025-09-12 00:00:27,0.063,
2025-09-13 00:00:04,0.063,
2025-09-14 00:00:15,0.063,
2025-09-15 00:00:08,0.062,
2025-09-16 00:00:21,0.0575,
2025-09-17 00:00:16,0.057,
2025-09-18 00:00:13,0.0555,
2025-09-19 00:00:02,0.056,
2025-09-20 00:00:02,0.056,
2025-09-21 00:00:04,0.056,
