timestamp,yes,no
2025-07-23 00:00:09,0.575,0.425
2025-07-24 00:00:09,0.275,0.725
2025-07-25 00:00:09,0.31,0.69
2025-07-26 00:00:09,0.535,0.465
2025-07-27 00:00:10,0.6,0.4
2025-07-28 00:00:09,0.545,0.455
2025-07-29 00:00:10,0.47,0.53
2025-07-30 00:00:10,0.49,0.51
2025-07-31 00:00:08,0.515,0.485
2025-08-01 00:00:09,0.565,0.435
2025-08-02 00:00:09,0.645,0.355
2025-08-03 00:00:08,0.61,0.39
2025-08-04 00:00:07,0.665,0.335
2025-08-05 00:00:08,0.59,0.41
2025-08-06 00:00:09,0.505,0.495
2025-08-07 00:00:08,0.54,
2025-08-08 00:00:03,0.485,
2025-08-09 00:00:08,0.525,
2025-08-10 00:00:04,0.575,
2025-08-11 00:00:13,0.54,
2025-08-12 00:00:06,0.585,
2025-08-13 00:00:12,0.645,
2025-08-14 00:00:06,0.565,
2025-08-15 00:00:03,0.325,
2025-08-16 00:00:04,0.335,
2025-08-17 00:00:09,0.3,
2025-08-18 00:00:07,0.21,
2025-08-19 00:00:16,0.23,0.77
2025-08-20 00:00:06,0.145,
2025-08-21 00:00:06,0.135,
2025-08-22 00:00:09,0.085,
2025-08-23 00:00:09,0.115,
2025-08-24 00:00:04,0.085,
2025-08-25 00:00:13,0.055,
2025-08-26 00:00:04,0.04,
2025-08-27 00:00:15,0.03,
2025-08-28 00:00:07,0.0175,
2025-08-29 00:00:15,0.0175,
2025-08-30 00:00:04,0.01,
2025-08-31 00:00:07,0.0075,
2025-09-01 00:00:07,0.0005,
