timestamp,yes,no
2025-06-17 00:00:08,0.405,0.595
2025-06-18 00:00:08,0.135,0.865
2025-06-19 00:00:07,0.16,0.84
2025-06-20 00:00:08,0.145,0.855
2025-06-21 00:00:08,0.14,0.86
2025-06-22 00:00:06,0.145,0.855
2025-06-23 00:00:07,0.1,0.9
2025-06-24 00:00:07,0.135,0.865
2025-06-25 00:00:07,0.165,0.835
2025-06-26 00:00:08,0.225,0.775
2025-06-27 00:00:07,0.32,0.68
2025-06-28 00:00:07,0.335,0.665
2025-06-29 00:00:08,0.33,0.67
2025-06-30 00:00:07,0.315,0.685
2025-07-01 00:00:08,0.305,0.695
2025-07-02 00:00:07,0.33,0.67
2025-07-03 00:00:08,0.32,0.68
2025-07-04 00:00:08,0.23,0.77
2025-07-05 00:00:08,0.24,0.76
2025-07-06 00:00:07,0.26,0.74
2025-07-07 00:00:07,0.245,0.755
2025-07-08 00:00:08,0.26,0.74
2025-07-09 00:00:07,0.265,0.735
2025-07-10 00:00:08,0.27,0.73
2025-07-11 00:00:08,0.265,0.735
2025-07-12 00:00:09,0.15,0.85
2025-07-13 00:00:08,0.135,0.865
2025-07-14 00:00:07,0.12,0.88
2025-07-15 00:00:08,0.12,0.88
2025-07-16 00:00:08,0.0195,0.9805
2025-07-17 00:00:08,0.0285,0.9715
2025-07-18 00:00:08,0.0335,0.9665
2025-07-19 00:00:09,0.026,0.974
2025-07-20 00:00:08,0.0285,0.9715
2025-07-21 00:00:07,0.027,0.973
2025-07-22 00:00:09,0.0255,0.9745
2025-07-23 00:00:09,0.0205,0.9795
2025-07-24 00:00:09,0.0255,0.9745
2025-07-25 00:00:09,0.0255,0.9745
2025-07-26 00:00:09,0.0235,0.9765
2025-07-27 00:00:10,0.031,0.969
2025-07-28 00:00:09,0.0195,0.9805
2025-07-29 00:00:10,0.0165,0.9835
2025-07-30 00:00:10,0.0175,0.9825
