timestamp,yes,no
2025-06-17 00:00:08,0.5,0.5
2025-06-18 00:00:08,0.785,0.215
2025-06-19 00:00:07,0.83,0.17
2025-06-20 00:00:08,0.84,0.16
2025-06-21 00:00:08,0.84,0.16
2025-06-22 00:00:06,0.845,0.155
2025-06-23 00:00:07,0.845,0.155
2025-06-24 00:00:07,0.84,0.16
2025-06-25 00:00:07,0.785,0.215
2025-06-26 00:00:08,0.75,0.25
2025-06-27 00:00:07,0.635,0.365
2025-06-28 00:00:07,0.62,0.38
2025-06-29 00:00:08,0.62,0.38
2025-06-30 00:00:07,0.625,0.375
2025-07-01 00:00:08,0.615,0.385
2025-07-02 00:00:07,0.625,0.375
2025-07-03 00:00:08,0.645,0.355
2025-07-04 00:00:08,0.73,0.27
2025-07-05 00:00:08,0.69,0.31
2025-07-06 00:00:07,0.69,0.31
2025-07-07 00:00:07,0.72,0.28
2025-07-08 00:00:08,0.685,0.315
2025-07-09 00:00:07,0.71,0.29
2025-07-10 00:00:08,0.715,0.285
2025-07-11 00:00:08,0.705,0.295
2025-07-12 00:00:09,0.85,0.15
2025-07-13 00:00:08,0.84,0.16
2025-07-14 00:00:07,0.875,0.125
2025-07-15 00:00:08,0.87,0.13
2025-07-16 00:00:08,0.9705,0.0295
2025-07-17 00:00:08,0.959,0.041
2025-07-18 00:00:08,0.9575,0.0425
2025-07-19 00:00:09,0.9555,0.0445
2025-07-20 00:00:08,0.959,0.041
2025-07-21 00:00:07,0.9575,0.0425
2025-07-22 00:00:09,0.9645,0.0355
2025-07-23 00:00:09,0.9615,0.0385
2025-07-24 00:00:09,0.96,0.04
2025-07-25 00:00:09,0.964,0.036
2025-07-26 00:00:09,0.9705,0.0295
2025-07-27 00:00:10,0.966,0.034
2025-07-28 00:00:09,0.977,0.023
2025-07-29 00:00:10,0.9825,0.0175
2025-07-30 00:00:10,0.9825,0.0175
