timestamp,yes,no
2025-04-16 00:00:05,0.49,0.51
2025-04-17 00:00:06,0.415,0.585
2025-04-18 00:00:04,0.405,0.595
2025-04-19 00:00:06,0.435,0.565
2025-04-20 00:00:06,0.43,0.57
2025-04-21 00:00:06,0.425,0.575
2025-04-22 00:00:06,0.445,0.555
2025-04-23 00:00:07,0.445,0.555
2025-04-24 00:00:06,0.45,0.55
2025-04-25 00:00:06,0.46,0.54
2025-04-26 00:00:06,0.435,0.565
2025-04-27 00:00:05,0.43,0.57
2025-04-28 00:00:05,0.44,0.56
2025-04-29 00:00:05,0.445,0.555
2025-04-30 00:00:06,0.455,0.545
2025-05-01 00:00:06,0.445,0.555
2025-05-02 00:00:06,0.43,0.57
2025-05-03 00:00:06,0.29,0.71
2025-05-04 00:00:05,0.004,0.996
