timestamp,yes,no
2025-04-10 00:00:05,0.245,0.755
2025-04-11 00:00:05,0.0445,0.9555
2025-04-12 00:00:06,0.033,0.967
2025-04-13 00:00:05,0.0385,0.9615
2025-04-14 00:00:05,0.0355,0.9645
2025-04-15 00:00:05,0.034,0.966
2025-04-16 00:00:05,0.039,0.961
2025-04-17 00:00:06,0.04,0.96
2025-04-18 00:00:04,0.042,0.958
2025-04-19 00:00:06,0.0285,0.9715
2025-04-20 00:00:06,0.028,0.972
2025-04-21 00:00:06,0.0265,0.9735
2025-04-22 00:00:06,0.0265,0.9735
2025-04-23 00:00:07,0.0315,0.9685
2025-04-24 00:00:06,0.0195,0.9805
2025-04-25 00:00:06,0.014,0.986
2025-04-26 00:00:06,0.0075,0.9925
2025-04-27 00:00:05,0.008,0.992
2025-04-28 00:00:05,0.014,0.986
2025-04-29 00:00:05,0.0275,0.9725
2025-04-30 00:00:06,0.0005,0.9995
2025-05-01 00:00:06,0.0005,0.9995
2025-05-02 00:00:06,0.0005,0.9995
2025-05-03 00:00:06,0.0005,0.9995
2025-05-04 00:00:05,0.0005,0.9995
2025-05-05 00:00:05,0.0005,0.9995
2025-05-06 00:00:06,0.0005,0.9995
2025-05-07 00:00:05,0.0005,0.9995
2025-05-08 00:00:06,0.0005,0.9995
2025-05-09 00:00:07,0.0005,0.9995
2025-05-10 00:00:06,0.0095,0.9905
2025-05-11 00:00:06,0.0065,0.9935
2025-05-12 00:00:06,0.005,0.995
2025-05-13 00:00:06,0.0055,0.9945
2025-05-14 00:00:07,0.0055,0.9945
2025-05-15 00:00:07,0.0005,0.9995
2025-05-16 00:00:06,0.0005,0.9995
2025-05-17 00:00:07,0.0005,0.9995
2025-05-18 00:00:06,0.0005,0.9995
2025-05-19 00:00:06,0.0005,0.9995
2025-05-20 00:00:06,0.0005,0.9995
2025-05-21 00:00:06,0.0005,0.9995
2025-05-22 00:00:07,0.0005,0.9995
2025-05-23 00:00:07,0.0005,0.9995
2025-05-24 00:00:07,0.0005,0.9995
2025-05-25 00:00:06,0.0005,0.9995
2025-05-26 00:00:07,0.0005,0.9995
2025-05-27 00:00:06,0.0005,0.9995
2025-05-28 00:00:06,0.0005,0.9995
2025-05-29 00:00:07,0.0005,0.9995
2025-05-30 00:00:07,0.0005,0.9995
2025-05-31 00:00:07,0.0005,0.9995
2025-06-01 00:00:07,0.0005,0.9995
2025-06-02 00:00:06,0.0005,0.9995
2025-06-03 00:00:07,0.0005,0.9995
2025-06-04 00:00:06,0.0005,0.9995
2025-06-05 00:00:06,0.0005,0.9995
2025-06-06 00:00:06,0.0005,0.9995
2025-06-07 00:00:07,0.0005,0.9995
2025-06-08 00:00:07,0.0005,0.9995
2025-06-09 00:00:07,0.0005,0.9995
2025-06-10 00:00:06,0.0005,0.9995
2025-06-11 00:00:07,0.0005,0.9995
2025-06-12 00:00:07,0.0005,0.9995
2025-06-13 00:00:07,0.0005,0.9995
2025-06-14 00:00:08,0.0005,0.9995
2025-06-15 00:00:08,0.0005,0.9995
2025-06-16 00:00:07,0.0005,0.9995
2025-06-17 00:00:08,0.0005,0.9995
2025-06-18 00:00:08,0.0005,0.9995
2025-06-19 00:00:07,0.012,0.988
2025-06-20 00:00:08,0.2345,0.7655
2025-06-21 00:00:08,0.0005,0.9995
2025-06-22 00:00:06,0.0005,0.9995
2025-06-23 00:00:07,0.0005,0.9995
2025-06-24 00:00:07,0.0005,0.9995
