timestamp,yes,no
2023-12-14 00:00:02,0.56,0.44
2023-12-15 00:00:02,0.58,0.42
2023-12-16 00:00:02,0.595,0.405
2023-12-17 00:00:02,0.6,0.4
2023-12-18 00:00:02,0.64,0.36
2023-12-19 00:00:02,0.705,0.295
2023-12-20 00:00:02,0.715,0.285
2023-12-21 00:00:03,0.775,0.225
2023-12-22 00:00:02,0.775,0.225
2023-12-23 00:00:02,0.73,0.27
2023-12-24 00:00:02,0.64,0.36
2023-12-25 00:00:02,0.605,0.395
2023-12-26 00:00:02,0.605,0.395
2023-12-27 00:00:03,0.695,0.305
2023-12-28 00:00:03,0.705,0.295
2023-12-29 00:00:02,0.71,0.29
2023-12-30 00:00:02,0.67,0.33
2023-12-31 00:00:02,0.595,0.405
2024-01-01 00:00:02,0.585,0.415
2024-01-02 00:00:02,0.55,0.45
2024-01-03 00:00:02,0.49,0.51
2024-01-04 00:00:02,0.33,0.67
2024-01-05 00:00:03,0.365,0.635
2024-01-06 00:00:02,0.41,0.59
2024-01-07 00:00:02,0.515,0.485
2024-01-08 00:00:02,0.355,0.645
2024-01-09 00:00:03,0.345,0.655
2024-01-10 00:00:03,0.4,0.6
2024-01-11 00:00:03,0.4,0.6
2024-01-12 00:00:03,0.36,0.64
2024-01-13 00:00:02,0.28,0.72
2024-01-14 00:00:02,0.24,0.76
2024-01-15 00:00:03,0.235,0.765
2024-01-16 00:00:02,0.25,0.75
2024-01-17 00:00:03,0.25,0.75
2024-01-18 00:00:02,0.225,0.775
2024-01-19 00:00:02,0.205,0.795
2024-01-20 00:00:03,0.175,0.825
2024-01-21 00:00:02,0.175,0.825
2024-01-22 00:00:02,0.165,0.835
2024-01-23 00:00:03,0.135,0.865
2024-01-24 00:00:02,0.175,0.825
2024-01-25 00:00:02,0.135,0.865
2024-01-26 00:00:02,0.125,0.875
2024-01-27 00:00:02,0.015,0.985
2024-01-28 00:00:02,0.0305,0.9695
2024-01-29 00:00:02,0.017,0.983
2024-01-30 00:00:02,0.013,0.987
2024-01-31 00:00:02,0.0065,0.9935
2024-02-01 00:00:02,0.0005,0.9995
