timestamp,yes,no
2025-07-29 00:00:10,0.435,0.565
2025-07-30 00:00:10,0.42,0.58
2025-07-31 00:00:08,0.4,0.6
2025-08-01 00:00:09,0.62,0.38
2025-08-02 00:00:09,0.685,0.315
2025-08-03 00:00:08,0.635,0.365
2025-08-04 00:00:07,0.615,0.385
2025-08-05 00:00:08,0.63,0.37
2025-08-06 00:00:09,0.615,0.385
2025-08-07 00:00:10,0.565,
2025-08-08 00:00:09,0.475,
2025-08-09 00:00:07,0.69,
2025-08-10 00:00:02,0.66,
2025-08-11 00:00:02,0.64,
2025-08-12 00:00:05,0.735,
2025-08-13 00:00:08,0.775,
2025-08-14 00:00:05,0.775,
2025-08-15 00:00:15,0.765,
2025-08-16 00:00:07,0.665,0.335
2025-08-17 00:00:08,0.595,
2025-08-18 00:00:04,0.57,
2025-08-19 00:00:05,0.57,
2025-08-20 00:00:06,0.475,
2025-08-21 00:00:08,0.455,
2025-08-22 00:00:09,0.265,
2025-08-23 00:00:13,0.325,
2025-08-24 00:00:07,0.355,
2025-08-25 00:00:15,0.33,
2025-08-26 00:00:05,0.255,
2025-08-27 00:00:15,0.255,
2025-08-28 00:00:10,0.265,
2025-08-29 00:00:08,0.27,
2025-08-30 00:00:08,0.275,
2025-08-31 00:00:07,0.26,
2025-09-01 00:00:05,0.27,
2025-09-02 00:00:12,0.145,
2025-09-03 00:00:02,0.135,
2025-09-04 00:00:13,0.115,
2025-09-05 00:00:14,0.11,
2025-09-06 00:00:21,0.105,
2025-09-07 00:00:12,0.095,
2025-09-08 00:00:17,0.11,
2025-09-09 00:00:07,0.11,
2025-09-10 00:00:08,0.105,
2025-09-11 00:00:10,0.1,
2025-09-12 00:00:18,0.055,
2025-09-13 00:00:10,0.065,0.935
2025-09-14 00:00:17,0.06,
2025-09-15 00:00:10,0.065,
2025-09-16 00:00:13,0.055,
2025-09-17 00:00:17,0.0395,
2025-09-18 00:00:11,0.041,
2025-09-19 00:00:14,0.041,
2025-09-20 00:00:14,0.043,
2025-09-21 00:00:02,0.0435,
2025-09-22 00:00:08,0.0315,
2025-09-23 00:00:10,0.0325,
2025-09-24 00:00:17,0.015,
2025-09-25 00:00:06,0.0115,
2025-09-26 00:00:05,0.014,
2025-09-27 00:00:10,0.0145,
2025-09-28 00:00:10,0.0155,
2025-09-29 00:00:10,0.0065,
2025-09-30 00:00:12,0.0035,
2025-10-01 00:00:06,0.002,
