timestamp,yes,no
2025-04-09 00:00:06,0.205,0.795
2025-04-10 00:00:05,0.1,0.9
2025-04-11 00:00:05,0.0755,0.9245
2025-04-12 00:00:06,0.057,0.943
2025-04-13 00:00:05,0.0365,0.9635
2025-04-14 00:00:05,0.0315,0.9685
2025-04-15 00:00:05,0.0295,0.9705
2025-04-16 00:00:05,0.035,0.965
2025-04-17 00:00:06,0.0335,0.9665
2025-04-18 00:00:04,0.0365,0.9635
2025-04-19 00:00:06,0.0275,0.9725
2025-04-20 00:00:06,0.018,0.982
2025-04-21 00:00:06,0.0165,0.9835
2025-04-22 00:00:06,0.015,0.985
2025-04-23 00:00:07,0.0165,0.9835
2025-04-24 00:00:06,0.0165,0.9835
2025-04-25 00:00:06,0.013,0.987
2025-04-26 00:00:06,0.011,0.989
2025-04-27 00:00:05,0.0065,0.9935
2025-04-28 00:00:05,0.011,0.989
2025-04-29 00:00:05,0.0055,0.9945
2025-04-30 00:00:06,0.005,0.995
2025-05-01 00:00:06,0.0035,0.9965
