timestamp,yes,no
2023-12-30 00:00:02,0.44,0.56
2023-12-31 00:00:02,0.41,0.59
2024-01-01 00:00:02,0.245,0.755
2024-01-02 00:00:02,0.155,0.845
2024-01-03 00:00:02,0.135,0.865
2024-01-04 00:00:02,0.14,0.86
2024-01-05 00:00:03,0.095,0.905
2024-01-06 00:00:02,0.12,0.88
2024-01-07 00:00:02,0.15,0.85
2024-01-08 00:00:02,0.17,0.83
2024-01-09 00:00:03,0.225,0.775
2024-01-10 00:00:03,0.195,0.805
2024-01-11 00:00:03,0.155,0.845
2024-01-12 00:00:03,0.14,0.86
2024-01-13 00:00:02,0.22,0.78
2024-01-14 00:00:02,0.155,0.845
2024-01-15 00:00:03,0.16,0.84
2024-01-16 00:00:02,0.145,0.855
2024-01-17 00:00:03,0.16,0.84
2024-01-18 00:00:02,0.25,0.75
2024-01-19 00:00:02,0.21,0.79
2024-01-20 00:00:03,0.21,0.79
2024-01-21 00:00:02,0.215,0.785
2024-01-22 00:00:02,0.225,0.775
2024-01-23 00:00:03,0.215,0.785
2024-01-24 00:00:02,0.205,0.795
2024-01-25 00:00:02,0.215,0.785
2024-01-26 00:00:02,0.17,0.83
2024-01-27 00:00:02,0.23,0.77
2024-01-28 00:00:02,0.245,0.755
2024-01-29 00:00:02,0.245,0.755
2024-01-30 00:00:02,0.365,0.635
2024-01-31 00:00:02,0.605,0.395
2024-02-01 00:00:02,0.52,0.48
2024-02-02 00:00:02,0.61,0.39
