timestamp,yes,no
2024-05-21 00:00:03,0.405,0.595
2024-05-22 00:00:03,0.58,0.42
2024-05-23 00:00:03,0.58,0.42
2024-05-24 00:00:03,0.585,0.415
2024-05-25 00:00:03,0.535,0.465
2024-05-26 00:00:03,0.545,0.455
2024-05-27 00:00:03,0.545,0.455
2024-05-28 00:00:03,0.535,0.465
2024-05-29 00:00:04,0.535,0.465
2024-05-30 00:00:03,0.54,0.46
2024-05-31 00:00:03,0.54,0.46
2024-06-01 00:00:03,0.54,0.46
2024-06-02 00:00:03,0.48,0.52
2024-06-03 00:00:03,0.475,0.525
2024-06-04 00:00:02,0.48,0.52
2024-06-05 00:00:02,0.48,0.52
2024-06-06 00:00:03,0.48,0.52
2024-06-07 00:00:02,0.48,0.52
2024-06-08 00:00:02,0.48,0.52
2024-06-09 00:00:03,0.48,0.52
2024-06-10 00:00:04,0.48,0.52
2024-06-11 00:00:02,0.48,0.52
2024-06-12 00:00:03,0.48,0.52
2024-06-13 00:00:03,0.51,0.49
2024-06-14 00:00:03,0.505,0.495
2024-06-15 00:00:04,0.505,0.495
2024-06-16 00:00:04,0.5,0.5
2024-06-17 00:00:04,0.49,0.51
2024-06-18 00:00:03,0.49,0.51
2024-06-19 00:00:03,0.49,0.51
2024-06-20 00:00:04,0.49,0.51
2024-06-21 00:00:03,0.485,0.515
2024-06-22 00:00:02,0.485,0.515
2024-06-23 00:00:03,0.485,0.515
2024-06-24 00:00:03,0.485,0.515
2024-06-25 00:00:03,0.485,0.515
2024-06-26 00:00:03,0.69,0.31
2024-06-27 00:00:02,0.695,0.305
2024-06-28 00:00:03,0.515,0.485
2024-06-29 00:00:02,0.51,0.49
2024-06-30 00:00:02,0.45,0.55
2024-07-01 00:00:02,0.445,0.555
2024-07-02 00:00:03,0.445,0.555
2024-07-03 00:00:02,0.45,0.55
2024-07-04 00:00:03,0.45,0.55
2024-07-05 00:00:02,0.45,0.55
2024-07-06 00:00:02,0.46,0.54
2024-07-07 00:00:02,0.495,0.505
2024-07-08 00:00:02,0.425,0.575
2024-07-09 00:00:02,0.425,0.575
2024-07-10 00:00:03,0.42,0.58
2024-07-11 00:00:03,0.42,0.58
2024-07-12 00:00:02,0.34,0.66
2024-07-13 00:00:03,0.34,0.66
2024-07-14 00:00:02,0.345,0.655
2024-07-15 00:00:03,0.655,0.345
2024-07-16 00:00:02,0.65,0.35
2024-07-17 00:00:01,0.48,0.52
2024-07-18 00:00:02,0.585,0.415
2024-07-19 00:00:01,0.585,0.415
2024-07-20 00:00:01,0.48,0.52
2024-07-21 00:00:01,0.505,0.495
2024-07-22 00:00:01,0.505,0.495
2024-07-23 00:00:01,0.645,0.355
2024-07-24 00:00:01,0.215,0.785
2024-07-25 00:00:01,0.345,0.655
2024-07-26 00:00:02,0.345,0.655
2024-07-27 00:00:02,0.38,0.62
2024-07-28 00:00:02,0.485,0.515
2024-07-29 00:00:02,0.47,0.53
2024-07-30 00:00:01,0.49,0.51
2024-07-31 00:00:02,0.66,0.34
2024-08-01 00:00:02,0.36,0.64
