timestamp,yes,no
2024-04-16 00:00:03,0.05,0.95
2024-04-17 00:00:03,0.045,0.955
2024-04-18 00:00:03,0.0445,0.9555
2024-04-19 00:00:03,0.044,0.956
2024-04-20 00:00:02,0.056,0.944
2024-04-21 00:00:03,0.054,0.946
2024-04-22 00:00:03,0.047,0.953
2024-04-23 00:00:02,0.055,0.945
2024-04-24 00:00:03,0.0555,0.9445
2024-04-25 00:00:03,0.0555,0.9445
2024-04-26 00:00:02,0.0555,0.9445
2024-04-27 00:00:03,0.0555,0.9445
2024-04-28 00:00:03,0.0555,0.9445
2024-04-29 00:00:03,0.055,0.945
2024-04-30 00:00:04,0.0555,0.9445
2024-05-01 00:00:03,0.0555,0.9445
2024-05-02 00:00:03,0.0555,0.9445
2024-05-03 00:00:03,0.0555,0.9445
2024-05-04 00:00:03,0.0555,0.9445
2024-05-05 00:00:03,0.042,0.958
2024-05-06 00:00:02,0.042,0.958
2024-05-07 00:00:02,0.042,0.958
2024-05-08 00:00:03,0.042,0.958
2024-05-09 00:00:03,0.0395,0.9605
2024-05-10 00:00:03,0.0385,0.9615
2024-05-11 00:00:04,0.0385,0.9615
2024-05-12 00:00:03,0.0405,0.9595
2024-05-13 00:00:04,0.04,0.96
2024-05-14 00:00:03,0.028,0.972
2024-05-15 00:00:04,0.0275,0.9725
2024-05-16 00:00:04,0.034,0.966
2024-05-17 00:00:03,0.034,0.966
2024-05-18 00:00:03,0.034,0.966
2024-05-19 00:00:03,0.0335,0.9665
2024-05-20 00:00:03,0.0335,0.9665
2024-05-21 00:00:03,0.0335,0.9665
2024-05-22 00:00:03,0.0335,0.9665
2024-05-23 00:00:03,0.0335,0.9665
2024-05-24 00:00:03,0.032,0.968
2024-05-25 00:00:03,0.032,0.968
2024-05-26 00:00:03,0.033,0.967
2024-05-27 00:00:03,0.0315,0.9685
2024-05-28 00:00:03,0.0325,0.9675
2024-05-29 00:00:04,0.035,0.965
2024-05-30 00:00:03,0.035,0.965
2024-05-31 00:00:03,0.0275,0.9725
2024-06-01 00:00:03,0.0275,0.9725
2024-06-02 00:00:03,0.0275,0.9725
2024-06-03 00:00:03,0.0275,0.9725
2024-06-04 00:00:02,0.03,0.97
2024-06-05 00:00:02,0.03,0.97
2024-06-06 00:00:03,0.025,0.975
2024-06-07 00:00:02,0.025,0.975
2024-06-08 00:00:02,0.0385,0.9615
2024-06-09 00:00:03,0.0385,0.9615
2024-06-10 00:00:04,0.0385,0.9615
2024-06-11 00:00:02,0.0335,0.9665
2024-06-12 00:00:03,0.028,0.972
2024-06-13 00:00:03,0.028,0.972
2024-06-14 00:00:03,0.028,0.972
2024-06-15 00:00:04,0.028,0.972
2024-06-16 00:00:04,0.025,0.975
2024-06-17 00:00:04,0.025,0.975
2024-06-18 00:00:03,0.025,0.975
2024-06-19 00:00:03,0.025,0.975
2024-06-20 00:00:04,0.0245,0.9755
2024-06-21 00:00:03,0.024,0.976
2024-06-22 00:00:02,0.024,0.976
2024-06-23 00:00:03,0.0235,0.9765
2024-06-24 00:00:03,0.024,0.976
2024-06-25 00:00:03,0.0235,0.9765
2024-06-26 00:00:03,0.023,0.977
2024-06-27 00:00:02,0.0235,0.9765
2024-06-28 00:00:03,0.0265,0.9735
2024-06-29 00:00:02,0.026,0.974
2024-06-30 00:00:02,0.0215,0.9785
2024-07-01 00:00:02,0.021,0.979
2024-07-02 00:00:03,0.0165,0.9835
2024-07-03 00:00:02,0.014,0.986
2024-07-04 00:00:03,0.014,0.986
2024-07-05 00:00:02,0.027,0.973
2024-07-06 00:00:02,0.0125,0.9875
2024-07-07 00:00:02,0.0135,0.9865
2024-07-08 00:00:02,0.0135,0.9865
2024-07-09 00:00:02,0.013,0.987
2024-07-10 00:00:03,0.016,0.984
2024-07-11 00:00:03,0.0165,0.9835
2024-07-12 00:00:02,0.014,0.986
2024-07-13 00:00:03,0.0125,0.9875
2024-07-14 00:00:02,0.0125,0.9875
2024-07-15 00:00:03,0.012,0.988
2024-07-16 00:00:02,0.0105,0.9895
2024-07-17 00:00:01,0.008,0.992
2024-07-18 00:00:02,0.0075,0.9925
2024-07-19 00:00:01,0.0075,0.9925
2024-07-20 00:00:01,0.007,0.993
2024-07-21 00:00:01,0.0145,0.9855
2024-07-22 00:00:01,0.014,0.986
2024-07-23 00:00:01,0.0125,0.9875
2024-07-24 00:00:01,0.028,0.972
2024-07-25 00:00:01,0.018,0.982
2024-07-26 00:00:02,0.014,0.986
2024-07-27 00:00:02,0.0145,0.9855
2024-07-28 00:00:02,0.007,0.993
2024-07-29 00:00:02,0.0075,0.9925
2024-07-30 00:00:01,0.0125,0.9875
2024-07-31 00:00:02,0.0095,0.9905
2024-08-01 00:00:02,0.0005,0.9995
