timestamp,yes,no
2024-08-01 00:00:02,0.155,0.845
2024-08-02 00:00:01,0.115,0.885
2024-08-03 00:00:02,0.115,0.885
2024-08-04 00:00:01,0.16,0.84
2024-08-05 00:00:01,0.135,0.865
2024-08-06 00:00:01,0.135,0.865
2024-08-07 00:00:01,0.155,0.845
2024-08-08 00:00:01,0.155,0.845
2024-08-09 00:00:02,0.165,0.835
2024-08-10 00:00:02,0.175,0.825
2024-08-11 00:00:01,0.165,0.835
2024-08-12 00:00:01,0.16,0.84
2024-08-13 00:00:02,0.165,0.835
2024-08-14 00:00:02,0.165,0.835
2024-08-15 00:00:02,0.165,0.835
2024-08-16 00:00:02,0.165,0.835
2024-08-17 00:00:02,0.165,0.835
2024-08-18 00:00:02,0.16,0.84
2024-08-19 00:00:02,0.165,0.835
2024-08-20 00:00:01,0.165,0.835
2024-08-21 00:00:02,0.16,0.84
2024-08-22 00:00:02,0.16,0.84
2024-08-23 00:00:02,0.155,0.845
2024-08-24 00:00:02,0.16,0.84
2024-08-25 00:00:01,0.165,0.835
2024-08-26 00:00:02,0.195,0.805
2024-08-27 00:00:01,0.185,0.815
2024-08-28 00:00:01,0.17,0.83
2024-08-29 00:00:02,0.165,0.835
2024-08-30 00:00:02,0.165,0.835
2024-08-31 00:00:02,0.165,0.835
2024-09-01 00:00:02,0.165,0.835
2024-09-02 00:00:02,0.16,0.84
2024-09-03 00:00:02,0.155,0.845
2024-09-04 00:00:02,0.15,0.85
2024-09-05 00:00:02,0.15,0.85
2024-09-06 00:00:02,0.145,0.855
2024-09-07 00:00:02,0.145,0.855
2024-09-08 00:00:02,0.145,0.855
2024-09-09 00:00:01,0.135,0.865
2024-09-10 00:00:02,0.135,0.865
2024-09-11 00:00:01,0.14,0.86
2024-09-12 00:00:02,0.135,0.865
2024-09-13 00:00:02,0.125,0.875
2024-09-14 00:00:02,0.115,0.885
2024-09-15 00:00:02,0.115,0.885
2024-09-16 00:00:02,0.115,0.885
2024-09-17 00:00:02,0.11,0.89
2024-09-18 00:00:02,0.13,0.87
2024-09-19 00:00:01,0.13,0.87
2024-09-20 00:00:02,0.12,0.88
2024-09-21 00:00:02,0.12,0.88
2024-09-22 00:00:02,0.115,0.885
2024-09-23 00:00:02,0.115,0.885
2024-09-24 00:00:02,0.115,0.885
2024-09-25 00:00:02,0.095,0.905
2024-09-26 00:00:02,0.08,0.92
2024-09-27 00:00:02,0.075,0.925
2024-09-28 00:00:02,0.085,0.915
2024-09-29 00:00:03,0.085,0.915
2024-09-30 00:00:03,0.08,0.92
2024-10-01 00:00:02,0.085,0.915
2024-10-02 00:00:02,0.17,0.83
2024-10-03 00:00:02,0.12,0.88
2024-10-04 00:00:02,0.135,0.865
2024-10-05 00:00:02,0.12,0.88
2024-10-06 00:00:02,0.135,0.865
2024-10-07 00:00:02,0.14,0.86
2024-10-08 00:00:02,0.135,0.865
2024-10-09 00:00:02,0.135,0.865
2024-10-10 00:00:02,0.135,0.865
2024-10-11 00:00:03,0.155,0.845
2024-10-12 00:00:02,0.145,0.855
2024-10-13 00:00:03,0.145,0.855
2024-10-14 00:00:02,0.145,0.855
2024-10-15 00:00:02,0.145,0.855
2024-10-16 00:00:03,0.145,0.855
2024-10-17 00:00:02,0.15,0.85
2024-10-18 00:00:02,0.145,0.855
2024-10-19 00:00:02,0.145,0.855
2024-10-20 00:00:02,0.145,0.855
2024-10-21 00:00:02,0.145,0.855
