timestamp,yes,no
2023-10-10 00:00:02,0.46,0.54
2023-10-11 00:00:02,0.35,0.65
2023-10-12 00:00:02,0.355,0.645
2023-10-13 00:00:02,0.31,0.69
2023-10-14 00:00:02,0.305,0.695
2023-10-15 00:00:02,0.305,0.695
2023-10-16 00:00:02,0.285,0.715
2023-10-17 00:00:02,0.245,0.755
2023-10-18 00:00:02,0.26,0.74
2023-10-19 00:00:02,0.26,0.74
2023-10-20 00:00:02,0.26,0.74
2023-10-21 00:00:02,0.255,0.745
2023-10-22 00:00:02,0.25,0.75
2023-10-23 00:00:02,0.255,0.745
2023-10-24 00:00:02,0.27,0.73
2023-10-25 00:00:02,0.215,0.785
2023-10-26 00:00:02,0.235,0.765
2023-10-27 00:00:02,0.25,0.75
2023-10-28 00:00:02,0.315,0.685
2023-10-29 00:00:03,0.32,0.68
2023-10-30 00:00:03,0.32,0.68
2023-10-31 00:00:02,0.26,0.74
2023-11-01 00:00:02,0.26,0.74
2023-11-02 00:00:02,0.185,0.815
2023-11-03 00:00:02,0.225,0.775
2023-11-04 00:00:02,0.195,0.805
2023-11-05 00:00:02,0.195,0.805
2023-11-06 00:00:06,0.22,0.78
2023-11-07 00:00:02,0.195,0.805
2023-11-08 00:00:02,0.205,0.795
2023-11-09 00:00:03,0.25,0.75
2023-11-10 00:00:02,0.295,0.705
2023-11-11 00:00:02,0.315,0.685
2023-11-12 00:00:02,0.265,0.735
2023-11-13 00:00:02,0.275,0.725
2023-11-14 00:00:02,0.315,0.685
2023-11-15 00:00:02,0.425,0.575
2023-11-16 00:00:02,0.515,0.485
2023-11-17 00:00:03,0.505,0.495
2023-11-18 00:00:02,0.425,0.575
2023-11-19 00:00:03,0.415,0.585
2023-11-20 00:00:02,0.795,0.205
2023-11-21 00:00:02,0.6,0.4
2023-11-22 00:00:02,0.845,0.155
2023-11-23 00:00:02,0.967,0.033
2023-11-24 00:00:02,0.922,0.078
2023-11-25 00:00:02,0.9375,0.0625
2023-11-26 00:00:02,0.9795,0.0205
