timestamp,yes,no
2024-01-29 00:00:02,0.645,0.355
2024-01-30 00:00:02,0.65,0.35
2024-01-31 00:00:02,0.655,0.345
2024-02-01 00:00:02,0.715,0.285
2024-02-02 00:00:02,0.725,0.275
2024-02-03 00:00:02,0.645,0.355
2024-02-04 00:00:03,0.645,0.355
2024-02-05 00:00:02,0.595,0.405
2024-02-06 00:00:02,0.565,0.435
2024-02-07 00:00:02,0.545,0.455
2024-02-08 00:00:02,0.475,0.525
2024-02-09 00:00:02,0.425,0.575
2024-02-10 00:00:03,0.33,0.67
2024-02-11 00:00:03,0.335,0.665
2024-02-12 00:00:03,0.375,0.625
2024-02-13 00:00:02,0.37,0.63
2024-02-14 00:00:03,0.39,0.61
2024-02-15 00:00:03,0.335,0.665
2024-02-16 00:00:03,0.25,0.75
2024-02-17 00:00:02,0.24,0.76
2024-02-18 00:00:02,0.25,0.75
2024-02-19 00:00:02,0.19,0.81
2024-02-20 00:00:02,0.18,0.82
2024-02-21 00:00:03,0.185,0.815
2024-02-22 00:00:02,0.22,0.78
2024-02-23 00:00:02,0.175,0.825
2024-02-24 00:00:02,0.19,0.81
2024-02-25 00:00:02,0.18,0.82
2024-02-26 00:00:02,0.11,0.89
2024-02-27 00:00:02,0.04,0.96
2024-02-28 00:00:03,0.025,0.975
2024-02-29 00:00:02,0.0105,0.9895
2024-03-01 00:00:02,0.0085,0.9915
