timestamp,yes,no
2025-05-03 00:00:06,0.095,0.905
2025-05-04 00:00:05,0.065,0.935
2025-05-05 00:00:05,0.055,0.945
2025-05-06 00:00:06,0.055,0.945
2025-05-07 00:00:05,0.055,0.945
2025-05-08 00:00:06,0.04,0.96
2025-05-09 00:00:07,0.037,0.963
2025-05-10 00:00:06,0.048,0.952
2025-05-11 00:00:06,0.0565,0.9435
2025-05-12 00:00:06,0.056,0.944
2025-05-13 00:00:06,0.0555,0.9445
2025-05-14 00:00:07,0.0475,0.9525
2025-05-15 00:00:07,0.0475,0.9525
2025-05-16 00:00:06,0.048,0.952
2025-05-17 00:00:07,0.053,0.947
2025-05-18 00:00:06,0.051,0.949
2025-05-19 00:00:06,0.044,0.956
2025-05-20 00:00:06,0.0445,0.9555
2025-05-21 00:00:06,0.044,0.956
2025-05-22 00:00:07,0.0405,0.9595
2025-05-23 00:00:07,0.042,0.958
2025-05-24 00:00:07,0.0395,0.9605
2025-05-25 00:00:06,0.048,0.952
2025-05-26 00:00:07,0.0455,0.9545
2025-05-27 00:00:06,0.038,0.962
2025-05-28 00:00:06,0.039,0.961
2025-05-29 00:00:07,0.0365,0.9635
2025-05-30 00:00:07,0.041,0.959
2025-05-31 00:00:07,0.039,0.961
2025-06-01 00:00:07,0.038,0.962
2025-06-02 00:00:06,0.043,0.957
2025-06-03 00:00:07,0.0145,0.9855
2025-06-04 00:00:06,0.0345,0.9655
2025-06-05 00:00:06,0.0235,0.9765
2025-06-06 00:00:06,0.013,0.987
2025-06-07 00:00:07,0.011,0.989
2025-06-08 00:00:07,0.0185,0.9815
2025-06-09 00:00:07,0.0035,0.9965
