timestamp,yes,no
2025-05-03 00:00:06,0.0425,0.9575
2025-05-04 00:00:05,0.0495,0.9505
2025-05-05 00:00:05,0.05,0.95
2025-05-06 00:00:06,0.0495,0.9505
2025-05-07 00:00:05,0.041,0.959
2025-05-08 00:00:06,0.034,0.966
2025-05-09 00:00:07,0.03,0.97
2025-05-10 00:00:06,0.0295,0.9705
2025-05-11 00:00:06,0.031,0.969
2025-05-12 00:00:06,0.0345,0.9655
2025-05-13 00:00:06,0.0365,0.9635
2025-05-14 00:00:07,0.0375,0.9625
2025-05-15 00:00:07,0.0355,0.9645
2025-05-16 00:00:06,0.033,0.967
2025-05-17 00:00:07,0.0385,0.9615
2025-05-18 00:00:06,0.0375,0.9625
2025-05-19 00:00:06,0.03,0.97
2025-05-20 00:00:06,0.03,0.97
2025-05-21 00:00:06,0.035,0.965
2025-05-22 00:00:07,0.04,0.96
2025-05-23 00:00:07,0.0535,0.9465
2025-05-24 00:00:07,0.054,0.946
2025-05-25 00:00:06,0.05,0.95
2025-05-26 00:00:07,0.0515,0.9485
2025-05-27 00:00:06,0.048,0.952
2025-05-28 00:00:06,0.054,0.946
2025-05-29 00:00:07,0.05,0.95
2025-05-30 00:00:07,0.057,0.943
2025-05-31 00:00:07,0.0375,0.9625
2025-06-01 00:00:07,0.037,0.963
2025-06-02 00:00:06,0.038,0.962
2025-06-03 00:00:07,0.036,0.964
2025-06-04 00:00:06,0.038,0.962
2025-06-05 00:00:06,0.0305,0.9695
2025-06-06 00:00:06,0.0135,0.9865
2025-06-07 00:00:07,0.0145,0.9855
2025-06-08 00:00:07,0.0215,0.9785
2025-06-09 00:00:07,0.003,0.997
2025-06-10 00:00:06,0.0005,0.9995
