timestamp,yes,no
2025-08-26 00:00:04,0.64,
2025-08-27 00:00:11,0.73,
2025-08-28 00:00:02,0.75,
2025-08-29 00:00:11,0.775,0.225
2025-08-30 00:00:08,0.755,
2025-08-31 00:00:15,0.74,
2025-09-01 00:00:13,0.73,
2025-09-02 00:00:05,0.745,
2025-09-03 00:00:02,0.755,
2025-09-04 00:00:14,0.785,0.215
2025-09-05 00:00:06,0.78,
2025-09-06 00:00:08,0.76,
2025-09-07 00:00:06,0.73,0.27
2025-09-08 00:00:09,0.74,0.26
2025-09-09 00:00:14,0.75,
2025-09-10 00:00:13,0.71,
2025-09-11 00:00:05,0.79,
2025-09-12 00:00:21,0.655,
2025-09-13 00:00:11,0.67,
2025-09-14 00:00:12,0.64,
2025-09-15 00:00:04,0.61,
2025-09-16 00:00:16,0.555,
2025-09-17 00:00:16,0.215,
2025-09-18 00:00:14,0.19,
2025-09-19 00:00:09,0.335,
2025-09-20 00:00:14,0.31,
2025-09-21 00:00:04,0.24,
2025-09-22 00:00:11,0.3,
2025-09-23 00:00:11,0.275,
2025-09-24 00:00:03,0.15,
2025-09-25 00:00:03,0.13,
2025-09-26 00:00:13,0.115,
2025-09-27 00:00:05,0.06,
2025-09-28 00:00:12,0.06,
2025-09-29 00:00:07,0.0205,
2025-09-30 00:00:08,0.017,
2025-10-01 00:00:06,0.0045,
