timestamp,yes,no
2025-07-01 00:00:08,0.115,0.885
2025-07-02 00:00:07,0.06,0.94
2025-07-03 00:00:08,0.02,0.98
2025-07-04 00:00:08,0.024,0.976
2025-07-05 00:00:08,0.026,0.974
2025-07-06 00:00:07,0.024,0.976
2025-07-07 00:00:07,0.0295,0.9705
2025-07-08 00:00:08,0.0335,0.9665
2025-07-09 00:00:07,0.076,0.924
2025-07-10 00:00:08,0.037,0.963
2025-07-11 00:00:08,0.0325,0.9675
2025-07-12 00:00:09,0.0325,0.9675
2025-07-13 00:00:08,0.034,0.966
2025-07-14 00:00:07,0.033,0.967
2025-07-15 00:00:08,0.0175,0.9825
2025-07-16 00:00:08,0.023,0.977
2025-07-17 00:00:08,0.0175,0.9825
2025-07-18 00:00:08,0.0175,0.9825
2025-07-19 00:00:09,0.0145,0.9855
2025-07-20 00:00:08,0.017,0.983
2025-07-21 00:00:07,0.0145,0.9855
2025-07-22 00:00:09,0.01,0.99
2025-07-23 00:00:09,0.0105,0.9895
2025-07-24 00:00:09,0.0105,0.9895
2025-07-25 00:00:09,0.008,0.992
2025-07-26 00:00:09,0.0075,0.9925
2025-07-27 00:00:10,0.0055,0.9945
2025-07-28 00:00:09,0.0055,0.9945
2025-07-29 00:00:10,0.0035,0.9965
2025-07-30 00:00:10,0.0035,0.9965
2025-07-31 00:00:08,0.003,0.997
2025-08-01 00:00:09,0.004,0.996
