timestamp,yes,no
2023-12-29 00:00:02,0.375,0.625
2023-12-30 00:00:02,0.335,0.665
2023-12-31 00:00:02,0.355,0.645
2024-01-01 00:00:02,0.31,0.69
2024-01-02 00:00:02,0.285,0.715
2024-01-03 00:00:02,0.225,0.775
2024-01-04 00:00:02,0.26,0.74
2024-01-05 00:00:03,0.235,0.765
2024-01-06 00:00:02,0.24,0.76
2024-01-07 00:00:02,0.235,0.765
2024-01-08 00:00:02,0.215,0.785
2024-01-09 00:00:03,0.205,0.795
2024-01-10 00:00:03,0.225,0.775
2024-01-11 00:00:03,0.215,0.785
2024-01-12 00:00:03,0.235,0.765
2024-01-13 00:00:02,0.255,0.745
2024-01-14 00:00:02,0.205,0.795
2024-01-15 00:00:03,0.21,0.79
2024-01-16 00:00:02,0.21,0.79
2024-01-17 00:00:03,0.21,0.79
2024-01-18 00:00:02,0.21,0.79
2024-01-19 00:00:02,0.21,0.79
2024-01-20 00:00:03,0.21,0.79
2024-01-21 00:00:02,0.255,0.745
2024-01-22 00:00:02,0.24,0.76
2024-01-23 00:00:03,0.255,0.745
2024-01-24 00:00:02,0.255,0.745
2024-01-25 00:00:02,0.255,0.745
2024-01-26 00:00:02,0.255,0.745
2024-01-27 00:00:02,0.245,0.755
2024-01-28 00:00:02,0.245,0.755
2024-01-29 00:00:02,0.225,0.775
2024-01-30 00:00:02,0.22,0.78
2024-01-31 00:00:02,0.22,0.78
2024-02-01 00:00:02,0.22,0.78
2024-02-02 00:00:02,0.19,0.81
2024-02-03 00:00:02,0.19,0.81
2024-02-04 00:00:03,0.185,0.815
2024-02-05 00:00:02,0.185,0.815
2024-02-06 00:00:02,0.165,0.835
2024-02-07 00:00:02,0.165,0.835
2024-02-08 00:00:02,0.165,0.835
2024-02-09 00:00:02,0.165,0.835
2024-02-10 00:00:03,0.165,0.835
2024-02-11 00:00:03,0.175,0.825
2024-02-12 00:00:03,0.175,0.825
2024-02-13 00:00:02,0.175,0.825
2024-02-14 00:00:03,0.175,0.825
2024-02-15 00:00:03,0.175,0.825
2024-02-16 00:00:03,0.175,0.825
2024-02-17 00:00:02,0.175,0.825
