timestamp,yes,no
2025-05-03 00:00:06,0.6,0.4
2025-05-04 00:00:05,0.395,0.605
2025-05-05 00:00:05,0.165,0.835
2025-05-06 00:00:06,0.21,0.79
2025-05-07 00:00:05,0.205,0.795
2025-05-08 00:00:06,0.195,0.805
2025-05-09 00:00:07,0.32,0.68
2025-05-10 00:00:06,0.41,0.59
2025-05-11 00:00:06,0.415,0.585
2025-05-12 00:00:06,0.49,0.51
2025-05-13 00:00:06,0.49,0.51
2025-05-14 00:00:07,0.495,0.505
2025-05-15 00:00:07,0.485,0.515
2025-05-16 00:00:06,0.46,0.54
2025-05-17 00:00:07,0.515,0.485
2025-05-18 00:00:06,0.345,0.655
2025-05-19 00:00:06,0.405,0.595
2025-05-20 00:00:06,0.42,0.58
2025-05-21 00:00:06,0.455,0.545
2025-05-22 00:00:07,0.455,0.545
2025-05-23 00:00:07,0.47,0.53
2025-05-24 00:00:07,0.475,0.525
2025-05-25 00:00:06,0.475,0.525
2025-05-26 00:00:07,0.555,0.445
2025-05-27 00:00:06,0.54,0.46
2025-05-28 00:00:06,0.52,0.48
2025-05-29 00:00:07,0.665,0.335
2025-05-30 00:00:07,0.545,0.455
2025-05-31 00:00:07,0.56,0.44
2025-06-01 00:00:07,0.575,0.425
2025-06-02 00:00:06,0.675,0.325
2025-06-03 00:00:07,0.73,0.27
2025-06-04 00:00:06,0.69,0.31
2025-06-05 00:00:06,0.81,0.19
2025-06-06 00:00:06,0.76,0.24
2025-06-07 00:00:07,0.72,0.28
2025-06-08 00:00:07,0.73,0.27
2025-06-09 00:00:07,0.765,0.235
2025-06-10 00:00:06,0.705,0.295
2025-06-11 00:00:07,0.45,0.55
2025-06-12 00:00:07,0.5,0.5
2025-06-13 00:00:07,0.47,0.53
2025-06-14 00:00:08,0.705,0.295
2025-06-15 00:00:08,0.74,0.26
2025-06-16 00:00:07,0.725,0.275
2025-06-17 00:00:08,0.775,0.225
2025-06-18 00:00:08,0.785,0.215
2025-06-19 00:00:07,0.775,0.225
2025-06-20 00:00:08,0.78,0.22
2025-06-21 00:00:08,0.685,0.315
2025-06-22 00:00:06,0.66,0.34
2025-06-23 00:00:07,0.39,0.61
2025-06-24 00:00:07,0.495,0.505
2025-06-25 00:00:07,0.505,0.495
2025-06-26 00:00:08,0.505,0.495
2025-06-27 00:00:07,0.51,0.49
2025-06-28 00:00:07,0.515,0.485
2025-06-29 00:00:08,0.51,0.49
2025-06-30 00:00:07,0.515,0.485
2025-07-01 00:00:08,0.51,0.49
2025-07-02 00:00:07,0.475,0.525
2025-07-03 00:00:08,0.49,0.51
2025-07-04 00:00:08,0.265,0.735
2025-07-05 00:00:08,0.325,0.675
2025-07-06 00:00:07,0.475,0.525
2025-07-07 00:00:07,0.515,0.485
2025-07-08 00:00:08,0.525,0.475
2025-07-09 00:00:07,0.43,0.57
2025-07-10 00:00:08,0.43,0.57
2025-07-11 00:00:08,0.325,0.675
2025-07-12 00:00:09,0.325,0.675
2025-07-13 00:00:08,0.275,0.725
2025-07-14 00:00:07,0.28,0.72
2025-07-15 00:00:08,0.37,0.63
2025-07-16 00:00:08,0.465,0.535
2025-07-17 00:00:08,0.4,0.6
2025-07-18 00:00:08,0.4,0.6
2025-07-19 00:00:09,0.41,0.59
2025-07-20 00:00:08,0.435,0.565
2025-07-21 00:00:07,0.5,0.5
2025-07-22 00:00:09,0.475,0.525
2025-07-23 00:00:09,0.345,0.655
2025-07-24 00:00:09,0.345,0.655
2025-07-25 00:00:09,0.39,0.61
2025-07-26 00:00:09,0.35,0.65
2025-07-27 00:00:10,0.35,0.65
2025-07-28 00:00:09,0.35,0.65
2025-07-29 00:00:10,0.37,0.63
2025-07-30 00:00:10,0.37,0.63
2025-07-31 00:00:08,0.4,0.6
2025-08-01 00:00:09,0.495,0.505
2025-08-02 00:00:09,0.395,0.605
2025-08-03 00:00:08,0.4,0.6
2025-08-04 00:00:07,0.405,0.595
2025-08-05 00:00:08,0.345,0.655
2025-08-06 00:00:09,0.345,0.655
2025-08-07 00:00:08,0.32,
2025-08-08 00:00:05,0.325,
2025-08-09 00:00:10,0.39,
2025-08-10 00:00:06,0.355,
2025-08-11 00:00:07,0.53,
2025-08-12 00:00:06,0.57,
2025-08-13 00:00:12,0.59,
2025-08-14 00:00:06,0.475,
2025-08-15 00:00:11,0.515,
2025-08-16 00:00:08,0.625,
2025-08-17 00:00:02,0.5,
2025-08-18 00:00:07,0.45,0.55
2025-08-19 00:00:13,0.395,
2025-08-20 00:00:04,0.42,
2025-08-21 00:00:08,0.39,
2025-08-22 00:00:07,0.345,
2025-08-23 00:00:17,0.35,
2025-08-24 00:00:07,0.345,
2025-08-25 00:00:11,0.335,
2025-08-26 00:00:06,0.27,
2025-08-27 00:00:10,0.255,
2025-08-28 00:00:08,0.285,
2025-08-29 00:00:15,0.36,
2025-08-30 00:00:02,0.465,
2025-08-31 00:00:07,0.365,
2025-09-01 00:00:05,0.385,0.615
2025-09-02 00:00:03,0.29,
2025-09-03 00:00:10,0.325,
2025-09-04 00:00:14,0.31,0.69
2025-09-05 00:00:08,0.315,
2025-09-06 00:00:14,0.315,
2025-09-07 00:00:06,0.31,
2025-09-08 00:00:20,0.315,
2025-09-09 00:00:13,0.445,
2025-09-10 00:00:15,0.53,0.47
2025-09-11 00:00:14,0.665,
2025-09-12 00:00:11,0.715,0.285
2025-09-13 00:00:11,0.49,
2025-09-14 00:00:22,0.505,
2025-09-15 00:00:13,0.515,
2025-09-16 00:00:06,0.51,
2025-09-17 00:00:13,0.555,
2025-09-18 00:00:08,0.76,
2025-09-19 00:00:18,0.77,
2025-09-20 00:00:13,0.735,
2025-09-21 00:00:09,0.74,
2025-09-22 00:00:16,0.705,
2025-09-23 00:00:02,0.7,
2025-09-24 00:00:14,0.705,
2025-09-25 00:00:05,0.685,
2025-09-26 00:00:03,0.675,
2025-09-27 00:00:07,0.675,
2025-09-28 00:00:10,0.675,
2025-09-29 00:00:05,0.675,
2025-09-30 00:00:11,0.655,
2025-10-01 00:00:08,0.655,
2025-10-02 00:00:10,0.64,
2025-10-03 00:00:07,0.435,
2025-10-04 00:00:06,0.49,
2025-10-05 00:00:04,0.515,
2025-10-06 00:00:05,0.515,
2025-10-07 00:00:09,0.555,
2025-10-08 00:00:03,0.57,
2025-10-09 00:00:10,0.565,
2025-10-10 00:00:03,0.57,0.43
2025-10-11 00:00:12,0.53,
2025-10-12 00:00:14,0.54,
2025-10-13 00:00:09,0.54,
2025-10-14 00:00:08,0.53,
2025-10-15 00:00:12,0.53,
2025-10-16 00:00:16,0.53,
2025-10-17 00:00:07,0.53,
2025-10-18 00:00:06,0.545,
2025-10-19 00:00:08,0.555,
2025-10-20 00:00:05,0.545,
2025-10-21 00:00:16,0.555,
2025-10-22 00:00:13,0.545,
2025-10-23 00:00:08,0.41,0.59
2025-10-23 12:48:05,0.315,
