timestamp,yes,no
2025-08-02 00:00:09,0.725,0.275
2025-08-03 00:00:08,0.825,0.175
2025-08-04 00:00:07,0.795,0.205
2025-08-05 00:00:08,0.81,0.19
2025-08-06 00:00:09,0.805,0.195
2025-08-07 00:00:09,0.84,
2025-08-08 00:00:06,0.82,0.18
2025-08-09 00:00:12,0.815,
2025-08-10 00:00:02,0.835,
2025-08-11 00:00:11,0.83,0.17
2025-08-12 00:00:08,0.855,
2025-08-13 00:00:10,0.83,
2025-08-14 00:00:06,0.905,
2025-08-15 00:00:11,0.895,
2025-08-16 00:00:04,0.905,
2025-08-17 00:00:16,0.905,
2025-08-18 00:00:04,0.905,
2025-08-19 00:00:13,0.9,
2025-08-20 00:00:04,0.9,
2025-08-21 00:00:07,0.905,
2025-08-22 00:00:08,0.905,0.095
2025-08-23 00:00:15,0.885,
2025-08-24 00:00:07,0.885,
2025-08-25 00:00:09,0.85,
2025-08-26 00:00:06,0.705,0.295
2025-08-27 00:00:02,0.655,
2025-08-28 00:00:07,0.665,
2025-08-29 00:00:10,0.76,
