timestamp,yes,no
2025-05-16 00:00:06,0.23,0.77
2025-05-17 00:00:07,0.245,0.755
2025-05-18 00:00:06,0.23,0.77
2025-05-19 00:00:06,0.215,0.785
2025-05-20 00:00:06,0.205,0.795
2025-05-21 00:00:06,0.165,0.835
2025-05-22 00:00:07,0.115,0.885
2025-05-23 00:00:07,0.075,0.925
2025-05-24 00:00:07,0.07,0.93
2025-05-25 00:00:06,0.053,0.947
2025-05-26 00:00:07,0.0155,0.9845
2025-05-27 00:00:06,0.013,0.987
2025-05-28 00:00:06,0.016,0.984
2025-05-29 00:00:07,0.015,0.985
2025-05-30 00:00:07,0.044,0.956
2025-05-31 00:00:07,0.022,0.978
2025-06-01 00:00:07,0.003,0.997
