timestamp,yes,no
2025-01-24 00:00:03,0.845,0.155
2025-01-25 00:00:05,0.85,0.15
2025-01-26 00:00:04,0.84,0.16
2025-01-27 00:00:04,0.855,0.145
2025-01-28 00:00:04,0.855,0.145
2025-01-29 00:00:04,0.85,0.15
2025-01-30 00:00:05,0.85,0.15
2025-01-31 00:00:04,0.84,0.16
2025-02-01 00:00:05,0.91,0.09
2025-02-02 00:00:04,0.9,0.1
2025-02-03 00:00:05,0.905,0.095
2025-02-04 00:00:04,0.895,0.105
2025-02-05 00:00:04,0.895,0.105
2025-02-06 00:00:05,0.895,0.105
2025-02-07 00:00:04,0.895,0.105
2025-02-08 00:00:04,0.895,0.105
2025-02-09 00:00:06,0.895,0.105
2025-02-10 00:00:05,0.895,0.105
2025-02-11 00:00:04,0.895,0.105
2025-02-12 00:00:04,0.885,0.115
2025-02-13 00:00:04,0.895,0.105
2025-02-14 00:00:05,0.815,0.185
2025-02-15 00:00:04,0.875,0.125
2025-02-16 00:00:04,0.865,0.135
2025-02-17 00:00:04,0.865,0.135
2025-02-18 00:00:04,0.915,0.085
2025-02-19 00:00:04,0.915,0.085
2025-02-20 00:00:04,0.915,0.085
2025-02-21 00:00:05,0.92,0.08
2025-02-22 00:00:05,0.92,0.08
2025-02-23 00:00:04,0.915,0.085
2025-02-24 00:00:04,0.92,0.08
2025-02-25 00:00:04,0.92,0.08
2025-02-26 00:00:05,0.915,0.085
2025-02-27 00:00:05,0.915,0.085
2025-02-28 00:00:05,0.915,0.085
2025-03-01 00:00:05,0.92,0.08
2025-03-02 00:00:05,0.895,0.105
2025-03-03 00:00:05,0.89,0.11
2025-03-04 00:00:05,0.81,0.19
2025-03-05 00:00:04,0.835,0.165
2025-03-06 00:00:05,0.845,0.155
2025-03-07 00:00:05,0.96,0.04
2025-03-08 00:00:05,0.955,0.045
2025-03-09 00:00:05,0.946,0.054
2025-03-10 00:00:04,0.9605,0.0395
2025-03-11 00:00:05,0.958,0.042
2025-03-12 00:00:05,0.951,0.049
2025-03-13 00:00:06,0.9425,0.0575
2025-03-14 00:00:05,0.9335,0.0665
2025-03-15 00:00:04,0.931,0.069
2025-03-16 00:00:04,0.9285,0.0715
2025-03-17 00:00:04,0.928,0.072
2025-03-18 00:00:05,0.9275,0.0725
2025-03-19 00:00:05,0.924,0.076
2025-03-20 00:00:05,0.891,0.109
2025-03-21 00:00:05,0.8905,0.1095
2025-03-22 00:00:06,0.8935,0.1065
2025-03-23 00:00:06,0.8925,0.1075
2025-03-24 00:00:05,0.8905,0.1095
2025-03-25 00:00:06,0.8875,0.1125
2025-03-26 00:00:05,0.888,0.112
2025-03-27 00:00:06,0.8905,0.1095
2025-03-28 00:00:06,0.8895,0.1105
2025-03-29 00:00:06,0.892,0.108
2025-03-30 00:00:06,0.8885,0.1115
2025-03-31 00:00:05,0.936,0.064
2025-04-01 00:00:05,0.955,0.045
2025-04-02 00:00:06,0.9485,0.0515
2025-04-03 00:00:05,0.948,0.052
2025-04-04 00:00:05,0.9475,0.0525
2025-04-05 00:00:05,0.949,0.051
2025-04-06 00:00:05,0.945,0.055
2025-04-07 00:00:06,0.9375,0.0625
2025-04-08 00:00:06,0.9235,0.0765
2025-04-09 00:00:06,0.9335,0.0665
2025-04-10 00:00:05,0.933,0.067
2025-04-11 00:00:05,0.936,0.064
2025-04-12 00:00:06,0.958,0.042
2025-04-13 00:00:05,0.956,0.044
2025-04-14 00:00:05,0.953,0.047
2025-04-15 00:00:05,0.9595,0.0405
2025-04-16 00:00:05,0.9465,0.0535
2025-04-17 00:00:06,0.951,0.049
2025-04-18 00:00:04,0.952,0.048
2025-04-19 00:00:06,0.953,0.047
2025-04-20 00:00:06,0.954,0.046
2025-04-21 00:00:06,0.953,0.047
2025-04-22 00:00:06,0.953,0.047
2025-04-23 00:00:07,0.9875,0.0125
2025-04-24 00:00:06,0.9875,0.0125
2025-04-25 00:00:06,0.976,0.024
2025-04-26 00:00:06,0.972,0.028
2025-04-27 00:00:05,0.979,0.021
2025-04-28 00:00:05,0.9825,0.0175
2025-04-29 00:00:05,0.975,0.025
2025-04-30 00:00:06,0.9705,0.0295
2025-05-01 00:00:06,0.97,0.03
2025-05-02 00:00:06,0.9695,0.0305
2025-05-03 00:00:06,0.973,0.027
2025-05-04 00:00:05,0.981,0.019
2025-05-05 00:00:05,0.984,0.016
2025-05-06 00:00:06,0.9875,0.0125
2025-05-07 00:00:05,0.987,0.013
2025-05-08 00:00:06,0.9875,0.0125
2025-05-09 00:00:07,0.9865,0.0135
2025-05-10 00:00:06,0.9845,0.0155
2025-05-11 00:00:06,0.9875,0.0125
2025-05-12 00:00:06,0.9925,0.0075
2025-05-13 00:00:06,0.998,0.002
