timestamp,yes,no
2025-01-24 00:00:03,0.745,0.255
2025-01-25 00:00:05,0.74,0.26
2025-01-26 00:00:04,0.735,0.265
2025-01-27 00:00:04,0.775,0.225
2025-01-28 00:00:04,0.78,0.22
2025-01-29 00:00:04,0.78,0.22
2025-01-30 00:00:05,0.84,0.16
2025-01-31 00:00:04,0.84,0.16
2025-02-01 00:00:05,0.84,0.16
2025-02-02 00:00:04,0.9,0.1
2025-02-03 00:00:05,0.935,0.065
2025-02-04 00:00:04,0.894,0.106
2025-02-05 00:00:04,0.899,0.101
2025-02-06 00:00:05,0.8985,0.1015
2025-02-07 00:00:04,0.898,0.102
2025-02-08 00:00:04,0.8945,0.1055
2025-02-09 00:00:06,0.897,0.103
2025-02-10 00:00:05,0.899,0.101
2025-02-11 00:00:04,0.8985,0.1015
2025-02-12 00:00:04,0.8995,0.1005
2025-02-13 00:00:04,0.898,0.102
2025-02-14 00:00:05,0.901,0.099
2025-02-15 00:00:04,0.776,0.224
2025-02-16 00:00:04,0.853,0.147
2025-02-17 00:00:04,0.8405,0.1595
2025-02-18 00:00:04,0.842,0.158
2025-02-19 00:00:04,0.824,0.176
2025-02-20 00:00:04,0.819,0.181
2025-02-21 00:00:05,0.8155,0.1845
2025-02-22 00:00:05,0.814,0.186
2025-02-23 00:00:04,0.8085,0.1915
2025-02-24 00:00:04,0.8105,0.1895
2025-02-25 00:00:04,0.81,0.19
2025-02-26 00:00:05,0.809,0.191
2025-02-27 00:00:05,0.807,0.193
2025-02-28 00:00:05,0.9365,0.0635
2025-03-01 00:00:05,0.9135,0.0865
2025-03-02 00:00:05,0.9225,0.0775
2025-03-03 00:00:05,0.8745,0.1255
2025-03-04 00:00:05,0.8775,0.1225
2025-03-05 00:00:04,0.8855,0.1145
2025-03-06 00:00:05,0.8765,0.1235
2025-03-07 00:00:05,0.8725,0.1275
2025-03-08 00:00:05,0.8795,0.1205
2025-03-09 00:00:05,0.884,0.116
2025-03-10 00:00:04,0.884,0.116
2025-03-11 00:00:05,0.884,0.116
2025-03-12 00:00:05,0.89,0.11
2025-03-13 00:00:06,0.8945,0.1055
2025-03-14 00:00:05,0.8875,0.1125
2025-03-15 00:00:04,0.879,0.121
2025-03-16 00:00:04,0.888,0.112
2025-03-17 00:00:04,0.8925,0.1075
2025-03-18 00:00:05,0.892,0.108
2025-03-19 00:00:05,0.888,0.112
2025-03-20 00:00:05,0.879,0.121
2025-03-21 00:00:05,0.858,0.142
2025-03-22 00:00:06,0.856,0.144
2025-03-23 00:00:06,0.85,0.15
2025-03-24 00:00:05,0.836,0.164
2025-03-25 00:00:06,0.8185,0.1815
2025-03-26 00:00:05,0.8165,0.1835
2025-03-27 00:00:06,0.821,0.179
2025-03-28 00:00:06,0.818,0.182
2025-03-29 00:00:06,0.815,0.185
2025-03-30 00:00:06,0.8705,0.1295
2025-03-31 00:00:05,0.8195,0.1805
2025-04-01 00:00:05,0.8395,0.1605
2025-04-02 00:00:06,0.851,0.149
2025-04-03 00:00:05,0.8305,0.1695
2025-04-04 00:00:05,0.8225,0.1775
2025-04-05 00:00:05,0.835,0.165
2025-04-06 00:00:05,0.8365,0.1635
2025-04-07 00:00:06,0.8375,0.1625
2025-04-08 00:00:06,0.834,0.166
2025-04-09 00:00:06,0.836,0.164
2025-04-10 00:00:05,0.834,0.166
2025-04-11 00:00:05,0.8345,0.1655
2025-04-12 00:00:06,0.8345,0.1655
2025-04-13 00:00:05,0.8345,0.1655
2025-04-14 00:00:05,0.8665,0.1335
2025-04-15 00:00:05,0.885,0.115
2025-04-16 00:00:05,0.887,0.113
2025-04-17 00:00:06,0.8865,0.1135
2025-04-18 00:00:04,0.927,0.073
2025-04-19 00:00:06,0.924,0.076
2025-04-20 00:00:06,0.915,0.085
2025-04-21 00:00:06,0.917,0.083
2025-04-22 00:00:06,0.9105,0.0895
2025-04-23 00:00:07,0.908,0.092
2025-04-24 00:00:06,0.91,0.09
2025-04-25 00:00:06,0.911,0.089
2025-04-26 00:00:06,0.9095,0.0905
2025-04-27 00:00:05,0.91,0.09
2025-04-28 00:00:05,0.911,0.089
2025-04-29 00:00:05,0.9115,0.0885
2025-04-30 00:00:06,0.912,0.088
2025-05-01 00:00:06,0.9095,0.0905
2025-05-02 00:00:06,0.9065,0.0935
2025-05-03 00:00:06,0.907,0.093
2025-05-04 00:00:05,0.905,0.095
2025-05-05 00:00:05,0.9035,0.0965
2025-05-06 00:00:06,0.905,0.095
2025-05-07 00:00:05,0.9,0.1
2025-05-08 00:00:06,0.8895,0.1105
2025-05-09 00:00:07,0.912,0.088
2025-05-10 00:00:06,0.909,0.091
2025-05-11 00:00:06,0.914,0.086
2025-05-12 00:00:06,0.909,0.091
2025-05-13 00:00:06,0.973,0.027
