timestamp,yes,no
2023-10-20 00:00:02,0.51,0.49
2023-10-21 00:00:02,0.225,0.775
2023-10-22 00:00:02,0.335,0.665
2023-10-23 00:00:02,0.37,0.63
2023-10-24 00:00:02,0.375,0.625
2023-10-25 00:00:02,0.37,0.63
2023-10-26 00:00:02,0.38,0.62
2023-10-27 00:00:02,0.4,0.6
2023-10-28 00:00:02,0.33,0.67
2023-10-29 00:00:03,0.365,0.635
2023-10-30 00:00:03,0.385,0.615
2023-10-31 00:00:02,0.41,0.59
2023-11-01 00:00:02,0.41,0.59
2023-11-02 00:00:02,0.425,0.575
2023-11-03 00:00:02,0.43,0.57
2023-11-04 00:00:02,0.43,0.57
2023-11-05 00:00:02,0.395,0.605
2023-11-06 00:00:06,0.4,0.6
2023-11-07 00:00:02,0.45,0.55
2023-11-08 00:00:02,0.45,0.55
2023-11-09 00:00:03,0.435,0.565
2023-11-10 00:00:02,0.445,0.555
2023-11-11 00:00:02,0.445,0.555
2023-11-12 00:00:02,0.435,0.565
2023-11-13 00:00:02,0.435,0.565
2023-11-14 00:00:02,0.435,0.565
2023-11-15 00:00:02,0.435,0.565
2023-11-16 00:00:02,0.435,0.565
2023-11-17 00:00:03,0.435,0.565
2023-11-18 00:00:02,0.435,0.565
2023-11-19 00:00:03,0.435,0.565
2023-11-20 00:00:02,0.435,0.565
2023-11-21 00:00:02,0.435,0.565
2023-11-22 00:00:02,0.45,0.55
2023-11-23 00:00:02,0.43,0.57
2023-11-24 00:00:02,0.435,0.565
2023-11-25 00:00:02,0.435,0.565
2023-11-26 00:00:02,0.405,0.595
2023-11-27 00:00:02,0.41,0.59
2023-11-28 00:00:02,0.41,0.59
2023-11-29 00:00:02,0.405,0.595
2023-11-30 00:00:02,0.375,0.625
2023-12-01 00:00:02,0.425,0.575
2023-12-02 00:00:03,0.425,0.575
2023-12-03 00:00:02,0.415,0.585
2023-12-04 00:00:02,0.435,0.565
2023-12-05 00:00:02,0.195,0.805
2023-12-06 00:00:03,0.275,0.725
