timestamp,yes,no
2023-11-05 00:00:02,0.105,0.895
2023-11-06 00:00:06,0.085,0.915
2023-11-07 00:00:02,0.08,0.92
2023-11-08 00:00:02,0.075,0.925
2023-11-09 00:00:03,0.07,0.93
2023-11-10 00:00:02,0.095,0.905
2023-11-11 00:00:02,0.095,0.905
2023-11-12 00:00:02,0.08,0.92
2023-11-13 00:00:02,0.09,0.91
2023-11-14 00:00:02,0.09,0.91
2023-11-15 00:00:02,0.09,0.91
2023-11-16 00:00:02,0.09,0.91
2023-11-17 00:00:03,0.09,0.91
2023-11-18 00:00:02,0.09,0.91
2023-11-19 00:00:03,0.07,0.93
2023-11-20 00:00:02,0.07,0.93
2023-11-21 00:00:02,0.07,0.93
2023-11-22 00:00:02,0.07,0.93
2023-11-23 00:00:02,0.065,0.935
2023-11-24 00:00:02,0.065,0.935
2023-11-25 00:00:02,0.065,0.935
2023-11-26 00:00:02,0.065,0.935
2023-11-27 00:00:02,0.065,0.935
2023-11-28 00:00:02,0.065,0.935
2023-11-29 00:00:02,0.065,0.935
2023-11-30 00:00:02,0.065,0.935
2023-12-01 00:00:02,0.065,0.935
2023-12-02 00:00:03,0.065,0.935
2023-12-03 00:00:02,0.045,0.955
2023-12-04 00:00:02,0.04,0.96
2023-12-05 00:00:02,0.005,0.995
2023-12-06 00:00:03,0.005,0.995
