timestamp,yes,no
2025-04-05 00:00:05,0.45,0.55
2025-04-06 00:00:05,0.023,0.977
2025-04-07 00:00:06,0.043,0.957
2025-04-08 00:00:06,0.033,0.967
2025-04-09 00:00:06,0.0355,0.9645
2025-04-10 00:00:05,0.0445,0.9555
2025-04-11 00:00:05,0.0465,0.9535
2025-04-12 00:00:06,0.0375,0.9625
2025-04-13 00:00:05,0.0385,0.9615
2025-04-14 00:00:05,0.036,0.964
2025-04-15 00:00:05,0.0385,0.9615
2025-04-16 00:00:05,0.0375,0.9625
2025-04-17 00:00:06,0.0385,0.9615
2025-04-18 00:00:04,0.0285,0.9715
2025-04-19 00:00:06,0.039,0.961
2025-04-20 00:00:06,0.0355,0.9645
2025-04-21 00:00:06,0.0375,0.9625
2025-04-22 00:00:06,0.0435,0.9565
2025-04-23 00:00:07,0.0365,0.9635
2025-04-24 00:00:06,0.0375,0.9625
2025-04-25 00:00:06,0.041,0.959
2025-04-26 00:00:06,0.042,0.958
2025-04-27 00:00:05,0.054,0.946
2025-04-28 00:00:05,0.056,0.944
2025-04-29 00:00:05,0.05,0.95
2025-04-30 00:00:06,0.041,0.959
2025-05-01 00:00:06,0.037,0.963
2025-05-02 00:00:06,0.0375,0.9625
2025-05-03 00:00:06,0.0515,0.9485
2025-05-04 00:00:05,0.002,0.998
2025-05-05 00:00:05,0.0055,0.9945
2025-05-06 00:00:06,0.0075,0.9925
2025-05-07 00:00:05,0.018,0.982
2025-05-08 00:00:06,0.011,0.989
2025-05-09 00:00:07,0.01,0.99
2025-05-10 00:00:06,0.0085,0.9915
2025-05-11 00:00:06,0.009,0.991
2025-05-12 00:00:06,0.0015,0.9985
2025-05-13 00:00:06,0.0005,0.9995
2025-05-14 00:00:07,0.0005,0.9995
2025-05-15 00:00:07,0.003,0.997
2025-05-16 00:00:06,0.0005,0.9995
2025-05-17 00:00:07,0.0005,0.9995
2025-05-18 00:00:06,0.0005,0.9995
2025-05-19 00:00:06,0.0005,0.9995
2025-05-20 00:00:06,0.0005,0.9995
2025-05-21 00:00:06,0.0015,0.9985
2025-05-22 00:00:07,0.0045,0.9955
2025-05-23 00:00:07,0.001,0.999
2025-05-24 00:00:07,0.0005,0.9995
2025-05-25 00:00:06,0.0005,0.9995
2025-05-26 00:00:07,0.0005,0.9995
2025-05-27 00:00:06,0.0005,0.9995
2025-05-28 00:00:06,0.0005,0.9995
2025-05-29 00:00:07,0.0005,0.9995
2025-05-30 00:00:07,0.0005,0.9995
2025-05-31 00:00:07,0.0005,0.9995
2025-06-01 00:00:07,0.0005,0.9995
2025-06-02 00:00:06,0.0005,0.9995
2025-06-03 00:00:07,0.0005,0.9995
