timestamp,yes,no
2024-01-04 00:00:02,0.065,0.935
2024-01-05 00:00:03,0.08,0.92
2024-01-06 00:00:02,0.06,0.94
2024-01-07 00:00:02,0.055,0.945
2024-01-08 00:00:02,0.07,0.93
2024-01-09 00:00:03,0.075,0.925
2024-01-10 00:00:03,0.055,0.945
2024-01-11 00:00:03,0.055,0.945
2024-01-12 00:00:03,0.065,0.935
2024-01-13 00:00:02,0.06,0.94
2024-01-14 00:00:02,0.055,0.945
2024-01-15 00:00:03,0.05,0.95
2024-01-16 00:00:02,0.055,0.945
2024-01-17 00:00:03,0.06,0.94
2024-01-18 00:00:02,0.05,0.95
2024-01-19 00:00:02,0.035,0.965
2024-01-20 00:00:03,0.045,0.955
2024-01-21 00:00:02,0.0295,0.9705
2024-01-22 00:00:02,0.029,0.971
2024-01-23 00:00:03,0.025,0.975
2024-01-24 00:00:02,0.0265,0.9735
2024-01-25 00:00:02,0.0615,0.9385
2024-01-26 00:00:02,0.064,0.936
2024-01-27 00:00:02,0.068,0.932
2024-01-28 00:00:02,0.0825,0.9175
2024-01-29 00:00:02,0.046,0.954
2024-01-30 00:00:02,0.0455,0.9545
2024-01-31 00:00:02,0.041,0.959
2024-02-01 00:00:02,0.036,0.964
2024-02-02 00:00:02,0.036,0.964
2024-02-03 00:00:02,0.0155,0.9845
