timestamp,yes,no
2023-10-31 00:00:02,0.17,0.83
2023-11-01 00:00:02,0.18,0.82
2023-11-02 00:00:02,0.23,0.77
2023-11-03 00:00:02,0.375,0.625
2023-11-04 00:00:02,0.09,0.91
2023-11-05 00:00:02,0.085,0.915
2023-11-06 00:00:06,0.075,0.925
2023-11-07 00:00:02,0.075,0.925
2023-11-08 00:00:02,0.055,0.945
2023-11-09 00:00:03,0.06,0.94
2023-11-10 00:00:02,0.055,0.945
2023-11-11 00:00:02,0.05,0.95
2023-11-12 00:00:02,0.045,0.955
2023-11-13 00:00:02,0.05,0.95
2023-11-14 00:00:02,0.045,0.955
2023-11-15 00:00:02,0.034,0.966
2023-11-16 00:00:02,0.0275,0.9725
2023-11-17 00:00:03,0.026,0.974
2023-11-18 00:00:02,0.0245,0.9755
2023-11-19 00:00:03,0.0245,0.9755
2023-11-20 00:00:02,0.0185,0.9815
2023-11-21 00:00:02,0.0255,0.9745
2023-11-22 00:00:02,0.0165,0.9835
2023-11-23 00:00:02,0.0405,0.9595
2023-11-24 00:00:02,0.031,0.969
2023-11-25 00:00:02,0.0305,0.9695
2023-11-26 00:00:02,0.03,0.97
2023-11-27 00:00:02,0.0295,0.9705
2023-11-28 00:00:02,0.0205,0.9795
2023-11-29 00:00:02,0.0205,0.9795
2023-11-30 00:00:02,0.0205,0.9795
2023-12-01 00:00:02,0.012,0.988
