timestamp,yes,no
2023-10-16 00:00:02,0.195,0.805
2023-10-17 00:00:02,0.28,0.72
2023-10-18 00:00:02,0.29,0.71
2023-10-19 00:00:02,0.295,0.705
2023-10-20 00:00:02,0.245,0.755
2023-10-21 00:00:02,0.14,0.86
2023-10-22 00:00:02,0.535,0.465
2023-10-23 00:00:02,0.305,0.695
2023-10-24 00:00:02,0.295,0.705
2023-10-25 00:00:02,0.33,0.67
2023-10-26 00:00:02,0.32,0.68
2023-10-27 00:00:02,0.32,0.68
2023-10-28 00:00:02,0.36,0.64
2023-10-29 00:00:03,0.325,0.675
2023-10-30 00:00:03,0.3,0.7
2023-10-31 00:00:02,0.26,0.74
2023-11-01 00:00:02,0.28,0.72
2023-11-02 00:00:02,0.32,0.68
2023-11-03 00:00:02,0.42,0.58
2023-11-04 00:00:02,0.17,0.83
2023-11-05 00:00:02,0.185,0.815
2023-11-06 00:00:06,0.215,0.785
2023-11-07 00:00:02,0.22,0.78
2023-11-08 00:00:02,0.215,0.785
2023-11-09 00:00:03,0.16,0.84
2023-11-10 00:00:02,0.155,0.845
2023-11-11 00:00:02,0.135,0.865
2023-11-12 00:00:02,0.12,0.88
2023-11-13 00:00:02,0.095,0.905
2023-11-14 00:00:02,0.1,0.9
2023-11-15 00:00:02,0.085,0.915
2023-11-16 00:00:02,0.085,0.915
2023-11-17 00:00:03,0.075,0.925
2023-11-18 00:00:02,0.055,0.945
2023-11-19 00:00:03,0.055,0.945
2023-11-20 00:00:02,0.055,0.945
2023-11-21 00:00:02,0.065,0.935
2023-11-22 00:00:02,0.09,0.91
2023-11-23 00:00:02,0.09,0.91
2023-11-24 00:00:02,0.09,0.91
2023-11-25 00:00:02,0.085,0.915
2023-11-26 00:00:02,0.07,0.93
2023-11-27 00:00:02,0.07,0.93
2023-11-28 00:00:02,0.07,0.93
2023-11-29 00:00:02,0.07,0.93
2023-11-30 00:00:02,0.07,0.93
2023-12-01 00:00:02,0.07,0.93
2023-12-02 00:00:03,0.075,0.925
2023-12-03 00:00:02,0.1,0.9
2023-12-04 00:00:02,0.075,0.925
2023-12-05 00:00:02,0.07,0.93
2023-12-06 00:00:03,0.075,0.925
2023-12-07 00:00:02,0.075,0.925
2023-12-08 00:00:02,0.07,0.93
2023-12-09 00:00:02,0.08,0.92
2023-12-10 00:00:02,0.13,0.87
2023-12-11 00:00:02,0.13,0.87
2023-12-12 00:00:02,0.115,0.885
2023-12-13 00:00:02,0.12,0.88
2023-12-14 00:00:02,0.05,0.95
2023-12-15 00:00:02,0.115,0.885
2023-12-16 00:00:02,0.09,0.91
2023-12-17 00:00:02,0.095,0.905
2023-12-18 00:00:02,0.1,0.9
2023-12-19 00:00:02,0.105,0.895
2023-12-20 00:00:02,0.11,0.89
2023-12-21 00:00:03,0.08,0.92
2023-12-22 00:00:02,0.08,0.92
2023-12-23 00:00:02,0.065,0.935
2023-12-24 00:00:02,0.1,0.9
2023-12-25 00:00:02,0.085,0.915
2023-12-26 00:00:02,0.07,0.93
2023-12-27 00:00:03,0.075,0.925
2023-12-28 00:00:03,0.07,0.93
2023-12-29 00:00:02,0.06,0.94
2023-12-30 00:00:02,0.05,0.95
2023-12-31 00:00:02,0.045,0.955
2024-01-01 00:00:02,0.125,0.875
2024-01-02 00:00:02,0.1,0.9
2024-01-03 00:00:02,0.1,0.9
2024-01-04 00:00:02,0.0025,0.9975
